0_60_time,year,manufacturer,model
2.4,2017,BUGATTI,BUGATTI CHIRON SPORT
2.4,2018,BUGATTI,BUGATTI CHIRON SPORT
2.2,2022,BUGATTI,BUGATTI CHIRON SUPER SPORT
3.4,1992,BUGATTI,BUGATTI EB110 GT
3.1,1993,BUGATTI,BUGATTI EB110 SS
3.4,1993,BUGATTI,BUGATTI EB110 GT
2.5,2007,BUGATTI,BUGATTI VEYRON EB 16.4
2.4,2009,BUGATTI,BUGATTI VEYRON EB 16.4
2.5,2010,BUGATTI,BUGATTI VEYRON 16.4 GRAND SPORT
2.4,2011,BUGATTI,BUGATTI VEYRON 16.4 SUPER SPORT
2.4,2013,BUGATTI,BUGATTI VEYRON 16.4 GRAND SPORT VITESSE
2.5,2015,BUGATTI,BUGATTI VEYRON REMBRANDT LEGENDS EDITION
