0_60_time,year,manufacturer,model
9.3,1987,CADILLAC,CADILLAC ALLANTE
7.8,1989,CADILLAC,CADILLAC ALLANTE
7.8,1990,CADILLAC,CADILLAC ALLANTE
6.5,1993,CADILLAC,CADILLAC ALLANTE
6.1,2013,CADILLAC,CADILLAC ATS 2.0T PREMIUM (MANUAL)
7.4,2013,CADILLAC,CADILLAC ATS 2.5
5.3,2013,CADILLAC,CADILLAC ATS 3.6 PERFORMANCE (MANUAL)
5.4,2013,CADILLAC,CADILLAC ATS 3.6 PREMIUM
7.4,2014,CADILLAC,CADILLAC ATS 2.5
5.7,2014,CADILLAC,CADILLAC ATS 2.0T PREMIUM
5.5,2015,CADILLAC,CADILLAC ATS 3.6 PREMIUM COUPE
5.6,2015,CADILLAC,CADILLAC ATS 2.0T PREMIUM COUPE
5.4,2016,CADILLAC,CADILLAC ATS 2.0T PREMIUM AWD
4.2,2016,CADILLAC,CADILLAC ATS-V (MANUAL)
3.8,2016,CADILLAC,CADILLAC ATS-V
4.2,2016,CADILLAC,CADILLAC ATS-V COUPE (MANUAL)
3.8,2016,CADILLAC,CADILLAC ATS-V COUPE
5.7,2017,CADILLAC,CADILLAC ATS 2.0T LUXURY
5.6,2017,CADILLAC,CADILLAC ATS 3.6 PREMIUM PERFORMANCE
5.6,2018,CADILLAC,CADILLAC ATS 2.0T COUPE
9.2,2007,CADILLAC,CADILLAC BLS 1.9D
7.4,2008,CADILLAC,CADILLAC BLS 2.0T (210 PS)
10.1,2008,CADILLAC,CADILLAC BLS ESTATE 1.9D
8.5,2008,CADILLAC,CADILLAC BLS ESTATE 2.0T
8.8,2009,CADILLAC,CADILLAC BLS ESTATE 1.9D (180 PS)
9.3,1991,CADILLAC,CADILLAC BROUGHAM
8.7,1997,CADILLAC,CADILLAC CATERA
8.1,2000,CADILLAC,CADILLAC CATERA SPORT
15.8,1982,CADILLAC,CADILLAC CIMARRON 1.8
15.9,1982,CADILLAC,CADILLAC CIMARRON 1.8 (MANUAL)
14.6,1983,CADILLAC,CADILLAC CIMARRON 2.0
9.9,1985,CADILLAC,CADILLAC CIMARRON 2.8
10.4,1986,CADILLAC,CADILLAC CIMARRON 2.0
4.8,2020,CADILLAC,CADILLAC CT4 PREMIUM LUXURY 450T AWD
5.1,2020,CADILLAC,CADILLAC CT4 PREMIUM LUXURY 450T
4.8,2020,CADILLAC,CADILLAC CT4-V AWD
6.9,2020,CADILLAC,CADILLAC CT4 SPORT 350T
4.5,2021,CADILLAC,CADILLAC CT4-V
4.0,2022,CADILLAC,CADILLAC CT4-V BLACKWING
4.8,2020,CADILLAC,CADILLAC CT5-V
6.8,2020,CADILLAC,CADILLAC CT5 SPORT 350T
6.7,2021,CADILLAC,CADILLAC CT5 PREMIUM LUXURY AWD
3.6,2022,CADILLAC,CADILLAC CT5-V BLACKWING
4.9,2016,CADILLAC,CADILLAC CT6 3.0T AWD
6.1,2016,CADILLAC,CADILLAC CT6 2.0T
5.9,2016,CADILLAC,CADILLAC CT6 3.6 AWD
5.2,2017,CADILLAC,CADILLAC CT6 PLUG-IN-HYBRID
6.8,2019,CADILLAC,CADILLAC CT6 2.0T PREMIUM LUXURY
3.9,2020,CADILLAC,CADILLAC CT6-V BLACKWING
7.0,2003,CADILLAC,CADILLAC CTS 3.2
4.1,2004,CADILLAC,LINGENFELTER CADILLAC CTS-V 427
4.3,2004,CADILLAC,MALLETT CADILLAC CTS-V
6.5,2004,CADILLAC,CADILLAC CTS 3.6
4.9,2004,CADILLAC,CADILLAC CTS-V
4.7,2005,CADILLAC,CADILLAC CTS-V
6.5,2005,CADILLAC,CADILLAC CTS 3.6
8.2,2005,CADILLAC,CADILLAC CTS 3.6
4.7,2007,CADILLAC,CADILLAC CTS-V
3.3,2007,CADILLAC,CADILLAC CTS-V R
5.9,2008,CADILLAC,CADILLAC CTS DI (MANUAL)
6.3,2008,CADILLAC,CADILLAC CTS DI
4.0,2009,CADILLAC,CADILLAC CTS-V
4.0,2009,CADILLAC,CADILLAC CTS-V (MANUAL)
6.5,2010,CADILLAC,CADILLAC CTS 3.6 PREMIUM
6.5,2010,CADILLAC,CADILLAC CTS 4 3.6 PREMIUM
3.9,2010,CADILLAC,CADILLAC CTS-V (MANUAL)
7.1,2010,CADILLAC,CADILLAC CTS 3.6 PREMIUM WAGON
4.2,2011,CADILLAC,CADILLAC CTS-V COUPE (MANUAL)
3.9,2011,CADILLAC,D3 GROUP CADILLAC CTS-V COUPE
3.7,2011,CADILLAC,D3 GROUP CADILLAC CTS-V WAGON
6.2,2011,CADILLAC,CADILLAC CTS 3.6 PREMIUM COUPE
3.9,2011,CADILLAC,CADILLAC CTS-V COUPE
4.1,2011,CADILLAC,CADILLAC CTS-V SPORT WAGON
3.9,2011,CADILLAC,LINGENFELTER CADILLAC CTS-V COUPE
6.2,2012,CADILLAC,CADILLAC CTS 3.6 PREMIUM
3.9,2014,CADILLAC,CADILLAC CTS-V WAGON
6.1,2014,CADILLAC,CADILLAC CTS 3.6 PREMIUM
6.1,2014,CADILLAC,CADILLAC CTS 2.0T PREMIUM
4.4,2014,CADILLAC,CADILLAC CTS VSPORT
6.1,2015,CADILLAC,CADILLAC CTS 2.0T LUXURY
5.8,2016,CADILLAC,CADILLAC CTS 2.0T PREMIUM AWD
3.5,2016,CADILLAC,CADILLAC CTS-V SEDAN
4.4,2017,CADILLAC,CADILLAC CTS V-SPORT
5.7,2017,CADILLAC,CADILLAC CTS 3.6
11.0,1961,CADILLAC,CADILLAC COUPE DEVILLE
9.1,1968,CADILLAC,CADILLAC COUPE DEVILLE
9.4,1969,CADILLAC,CADILLAC COUPE DEVILLE
10.9,1975,CADILLAC,CADILLAC COUPE DEVILLE
10.6,1978,CADILLAC,CADILLAC COUPE DEVILLE
8.7,1990,CADILLAC,CADILLAC DEVILLE
7.8,1994,CADILLAC,CADILLAC DEVILLE CONCOURS
6.9,1995,CADILLAC,CADILLAC DEVILLE CONCOURS
6.8,1996,CADILLAC,CADILLAC DEVILLE CONCOURS
6.7,1998,CADILLAC,CADILLAC DEVILLE CONCOURS
6.7,2000,CADILLAC,CADILLAC DEVILLE DTS
6.6,2002,CADILLAC,CADILLAC DEVILLE DTS
10.6,2002,CADILLAC,"S&S COACH CADILLAC DEVILLE ""MASTERPIECE"" HEARSE"
7.7,2006,CADILLAC,CADILLAC DTS LUXURY III
7.0,2006,CADILLAC,CADILLAC DTS PERFORMANCE
10.0,1955,CADILLAC,CADILLAC SERIES 62 SEDAN
8.9,1967,CADILLAC,CADILLAC ELDORADO
8.6,1968,CADILLAC,CADILLAC ELDORADO
9.5,1970,CADILLAC,CADILLAC ELDORADO
10.9,1975,CADILLAC,CADILLAC ELDORADO
9.7,1979,CADILLAC,CADILLAC ELDORADO
15.2,1979,CADILLAC,CADILLAC ELDORADO DIESEL
12.9,1985,CADILLAC,CADILLAC ELDORADO TOURING COUPE
9.3,1988,CADILLAC,CADILLAC ELDORADO TOURING COUPE
8.1,1992,CADILLAC,CADILLAC ELDORADO TOURING COUPE (4.9L)
6.5,1993,CADILLAC,CADILLAC ELDORADO TOURING COUPE (4.6L)
6.5,1995,CADILLAC,CADILLAC ELDORADO TOURING COUPE
5.0,2000,CADILLAC,MOSLER TWINSTAR CADILLAC ELDORADO
7.5,2014,CADILLAC,CADILLAC ELR
7.8,2002,CADILLAC,CADILLAC ESCALADE EXT
7.8,2003,CADILLAC,CADILLAC ESCALADE
4.0,2003,CADILLAC,LINGENFELTER CADILLAC ESCALADE EXT 427 TWIN TURBO
7.6,2003,CADILLAC,CADILLAC ESCALADE ESV
6.4,2007,CADILLAC,CADILLAC ESCALADE
7.0,2007,CADILLAC,CADILLAC ESCALADE EXT
8.3,2009,CADILLAC,CADILLAC ESCALADE HYBRID
7.0,2011,CADILLAC,CADILLAC ESCALADE
6.0,2012,CADILLAC,SLP CADILLAC ESCALADE SUPERCHARGED SPORT EDITION
7.0,2012,CADILLAC,CADILLAC ESCALADE
6.0,2015,CADILLAC,CADILLAC ESCALADE ESV
5.7,2015,CADILLAC,CADILLAC ESCALADE
6.2,2021,CADILLAC,CADILLAC ESCALADE ESV PREMIUM LUXURY
5.9,2021,CADILLAC,CADILLAC ESCALADE ESV SPORT PLATINUM
6.1,2021,CADILLAC,CADILLAC ESCALADE SPORT PLATINUM
