0_60_time,year,manufacturer,model
10.0,1949,FERRARI,FERRARI 166 MM TOURING BARCHETTA
7.0,1952,FERRARI,FERRARI 212 TOURING BARCHETTA
8.2,1952,FERRARI,FERRARI 212 VIGNALE COUPE
6.0,1962,FERRARI,FERRARI 250 GTO
8.0,1962,FERRARI,FERRARI 250 GT 2+2
7.1,1962,FERRARI,FERRARI 250 GT
7.2,1962,FERRARI,FERRARI 250 GT CALIFORNIA SPYDER LWB
6.0,1964,FERRARI,FERRARI 250 GTO
8.0,1964,FERRARI,FERRARI 250 GT LUSSO BERLINETTA
6.6,1964,FERRARI,FERRARI 275 GTB
7.2,1966,FERRARI,FERRARI 275 GTS SPYDER
6.7,1967,FERRARI,FERRARI 275 GTS/4 NART SPYDER
4.9,1984,FERRARI,FERRARI 288 GTO
4.9,1986,FERRARI,FERRARI 288 GTO
7.9,1977,FERRARI,FERRARI 308 GTB
7.6,1980,FERRARI,FERRARI 308 GTSI
7.6,1982,FERRARI,FERRARI 308 GTSI
6.7,1983,FERRARI,FERRARI 308 GTBI QUATTROVALVOLE
5.5,1986,FERRARI,FERRARI 328 GTB
5.9,1988,FERRARI,FERRARI 328 GTS
6.3,1965,FERRARI,FERRARI 330 GT SERIES I
6.8,1967,FERRARI,FERRARI 330 GT SERIES II
6.8,1968,FERRARI,FERRARI 330 GTS
3.5,1995,FERRARI,FERRARI 333 SP
5.8,1990,FERRARI,FERRARI 348 TB
5.5,1993,FERRARI,FERRARI 348 TB SERIE SPECIALE
5.5,1993,FERRARI,FERRARI 348 TS SPIDER
4.0,2000,FERRARI,FERRARI 360 MODENA F1
3.7,2000,FERRARI,FERRARI 360 MODENA
4.3,2001,FERRARI,FERRARI 360 MODENA F1 SPIDER
3.8,2001,FERRARI,FERRARI 360 MODENA SPIDER
3.8,2004,FERRARI,NOVITEC FERRARI 360 MODENA F1
4.1,2004,FERRARI,FERRARI 360 CHALLENGE STRADALE
7.1,1969,FERRARI,FERRARI 365 GT 2+2
5.3,1970,FERRARI,FERRARI 365 GTB/4 DAYTONA
5.3,1971,FERRARI,FERRARI 365 GTB/4 DAYTONA
5.6,1957,FERRARI,FERRARI 410 SUPERAMERICA SUPERFAST
6.6,1959,FERRARI,FERRARI 410 SUPERAMERICA
6.6,1986,FERRARI,FERRARI 412
4.7,1994,FERRARI,FERRARI 456 GT
4.8,1997,FERRARI,FERRARI 456 GTA
5.2,1998,FERRARI,FERRARI 456M
5.0,1999,FERRARI,FERRARI 456 GT
3.0,2011,FERRARI,FERRARI 458 ITALIA
3.3,2012,FERRARI,FERRARI 458 SPIDER
2.9,2014,FERRARI,FERRARI 458 SPECIALE
2.9,2016,FERRARI,FERRARI 488 SPIDER
2.8,2016,FERRARI,FERRARI 488 GTB
2.7,2017,FERRARI,FERRARI 488 GTB SCUDERIA
2.7,2019,FERRARI,FERRARI 488 PISTA
2.7,2020,FERRARI,FERRARI 488 PISTA SPIDER
5.4,1978,FERRARI,FERRARI 512 BERLINETTA BOXER
5.0,1982,FERRARI,FERRARI 512 BERLINETTA BOXER
4.6,1992,FERRARI,FERRARI 512 TR
4.6,1997,FERRARI,FERRARI 550 MARANELLO
4.2,1999,FERRARI,FERRARI 550 MARANELLO
4.1,2000,FERRARI,FERRARI 550 MARANELLO
4.8,2001,FERRARI,FERRARI 550 BARCHETTA PININFARINA
4.0,2002,FERRARI,FERRARI 575M MARANELLO
4.1,2003,FERRARI,FERRARI 575M MARANELLO F1
4.0,2004,FERRARI,FERRARI 575M MARANELLO
4.1,2005,FERRARI,FERRARI 575M SUPERAMERICA
3.2,2007,FERRARI,FERRARI 599 GTB FIORANO F1
3.2,2009,FERRARI,FERRARI 599 GTB FIORANO
3.1,2011,FERRARI,FERRARI 599 GTO
2.9,2011,FERRARI,FERRARI 599XX
4.5,2005,FERRARI,FERRARI 612 SCAGLIETTI
4.2,2005,FERRARI,FERRARI 612 SCAGLIETTI F1
4.1,2006,FERRARI,FERRARI 612 SCAGLIETTI HGT-S PACKAGE
4.0,2011,FERRARI,FERRARI 612 SCAGLIETTI
2.8,2018,FERRARI,FERRARI 812 SUPERFAST
3.5,2010,FERRARI,FERRARI CALIFORNIA
3.4,2013,FERRARI,FERRARI CALIFORNIA
3.3,2015,FERRARI,FERRARI CALIFORNIA T
3.3,2017,FERRARI,FERRARI CALIFORNIA T HS
6.6,1968,FERRARI,FERRARI DINO 206 GT
7.4,1969,FERRARI,FERRARI DINO 246 GT
7.1,1972,FERRARI,FERRARI DINO 246 GT
8.1,1973,FERRARI,FERRARI DINO GTS
8.0,1975,FERRARI,FERRARI 308 DINO GT4
7.7,1980,FERRARI,FERRARI 308 DINO GT4
3.2,2003,FERRARI,FERRARI ENZO
2.8,2005,FERRARI,FERRARI FXX
2.4,2008,FERRARI,FERRARI FXX EVOLUZIONE
3.0,2013,FERRARI,FERRARI F12 BERLINETTA
2.8,2015,FERRARI,FERRARI F12 TDF
4.6,1994,FERRARI,FERRARI F355 GTS
4.6,1995,FERRARI,FERRARI F355 BERLINETTA
4.8,1996,FERRARI,FERRARI F355 SPIDER
4.7,1997,FERRARI,FERRARI F355 BERLINETTA
4.3,1997,FERRARI,SHELTON FERRARI F355 SPIDER COMPETIZIONE
4.7,1998,FERRARI,FERRARI F355 F1 BERLINETTA
3.7,1987,FERRARI,FERRARI F40
3.7,1992,FERRARI,FERRARI F40
3.5,2005,FERRARI,FERRARI F430 F1 BERLINETTA
4.0,2005,FERRARI,FERRARI F430 SPIDER
4.0,2006,FERRARI,FERRARI F430 BERLINETTA
3.7,2006,FERRARI,FERRARI F430 SPIDER F1
4.0,2007,FERRARI,FERRARI F430 F1 BERLINETTA
3.3,2008,FERRARI,FERRARI F430 SCUDERIA
4.1,2009,FERRARI,FERRARI F430 BERLINETTA
3.7,2009,FERRARI,FERRARI F430 SCUDERIA SPIDER 16M
3.6,1995,FERRARI,FERRARI F50
3.5,1997,FERRARI,FERRARI F50
4.5,1994,FERRARI,FERRARI F512 M
2.9,2015,FERRARI,FERRARI F60 AMERICA
2.8,2020,FERRARI,FERRARI F8 TRIBUTO
3.4,2012,FERRARI,FERRARI FF
3.3,2017,FERRARI,FERRARI GTC4 LUSSO
2.4,2015,FERRARI,FERRARI LAFERRARI
2.4,2016,FERRARI,FERRARI LAFERRARI FXX K
2.6,2017,FERRARI,FERRARI LAFERRARI APERTA
8.7,1982,FERRARI,FERRARI MONDIAL 8
7.5,1983,FERRARI,FERRARI MONDIAL QV CABRIOLET
7.5,1984,FERRARI,FERRARI MONDIAL QV CABRIOLET
6.5,1986,FERRARI,FERRARI 3.2 MONDIAL
7.0,1987,FERRARI,FERRARI 3.2 MONDIAL CABRIOLET
6.0,1989,FERRARI,FERRARI MONDIAL T
6.1,1991,FERRARI,FERRARI MONDIAL T
6.6,1992,FERRARI,FERRARI MONDIAL T CABRIOLET
2.8,2019,FERRARI,FERRARI MONZA SP2
2.8,2019,FERRARI,FERRARI MONZA SP1
3.2,2020,FERRARI,FERRARI PORTOFINO
2.4,2020,FERRARI,FERRARI SF90 STRADALE
2.0,2021,FERRARI,FERRARI SF90 STRADALE ASSETTO FIORANO
5.0,1986,FERRARI,FERRARI TESTAROSSA
5.0,1989,FERRARI,FERRARI TESTAROSSA
