0_60_time,year,manufacturer,model
7.6,2011,INFINITI,INFINITI EX30D DIESEL
6.1,2008,INFINITI,INFINITI EX35 JOURNEY
6.3,2009,INFINITI,INFINITI EX35 JOURNEY AWD
1.7,2015,INFINITI,INFINITI FORMULA 1 RED BULL RB11
8.0,2010,INFINITI,INFINITI FX30D DIESEL
8.0,2011,INFINITI,INFINITI FX30D DIESEL S PREMIUM
7.1,2003,INFINITI,INFINITI FX35
7.3,2003,INFINITI,INFINITI FX35 AWD
7.0,2005,INFINITI,INFINITI FX35
6.1,2009,INFINITI,INFINITI FX35 AWD
6.0,2009,INFINITI,INFINITI FX35
6.0,2012,INFINITI,INFINITI FX35
6.0,2013,INFINITI,INFINITI FX37 AWD
6.2,2004,INFINITI,INFINITI FX45 AWD
5.2,2009,INFINITI,INFINITI FX50 AWD
5.0,2009,INFINITI,INFINITI FX50S AWD
5.4,2013,INFINITI,INFINITI FX VETTEL EDITION
8.4,1991,INFINITI,INFINITI G20
8.4,1994,INFINITI,INFINITI G20T
10.7,1999,INFINITI,INFINITI G20T
8.5,1999,INFINITI,INFINITI G20T (MANUAL)
7.4,2011,INFINITI,INFINITI G25 JOURNEY
7.9,2011,INFINITI,INFINITI G25X
7.5,2012,INFINITI,INFINITI G25 JOURNEY
5.6,2003,INFINITI,INFINITI G35 COUPE (MANUAL)
5.8,2003,INFINITI,INFINITI G35 SEDAN (MANUAL)
5.8,2003,INFINITI,INFINITI G35 COUPE
6.2,2003,INFINITI,INFINITI G35 SEDAN
5.5,2003,INFINITI,STILLEN SUPERCHARGED G35 COUPE
6.2,2004,INFINITI,INFINITI G35X SEDAN
6.1,2004,INFINITI,INFINITI G35 SPORT SEDAN (MANUAL)
6.3,2004,INFINITI,INFINITI G35 SPORT SEDAN
5.8,2005,INFINITI,INFINITI G35 SEDAN (MANUAL)
5.3,2007,INFINITI,INFINITI G35 SPORT SEDAN
5.4,2007,INFINITI,INFINITI G35X SEDAN
5.3,2007,INFINITI,INFINITI G35 SPORT SEDAN (MANUAL)
5.4,2008,INFINITI,INFINITI G35X SEDAN
5.3,2008,INFINITI,INFINITI G37X SPORT COUPE
5.3,2008,INFINITI,INFINITI G37 SPORT COUPE
5.3,2008,INFINITI,INFINITI G37 SPORT COUPE (MANUAL)
5.5,2009,INFINITI,INFINITI G37 CONVERTIBLE (MANUAL)
5.2,2009,INFINITI,INFINITI G37 SPORT SEDAN (MANUAL)
5.2,2009,INFINITI,INFINITI G37X COUPE
5.5,2009,INFINITI,INFINITI G37 CONVERTIBLE
5.0,2009,INFINITI,INFINITI G37 SPORT SEDAN
5.4,2009,INFINITI,INFINITI G37X SPORT SEDAN
5.4,2010,INFINITI,INFINITI G37 JOURNEY COUPE
5.2,2010,INFINITI,INFINITI G37 SPORT COUPE
8.4,1996,INFINITI,INFINITI I30T
7.0,1996,INFINITI,INFINITI I30T (MANUAL)
8.2,2000,INFINITI,INFINITI I30T
6.8,2002,INFINITI,INFINITI I35
6.8,2004,INFINITI,INFINITI I35
5.3,2011,INFINITI,INFINITI IPL G COUPE
8.9,1993,INFINITI,INFINITI J30T
8.8,1994,INFINITI,INFINITI J30
7.8,2013,INFINITI,INFINITI JX35 AWD
9.9,1990,INFINITI,INFINITI M30 COUPE
9.7,1991,INFINITI,INFINITI M30 CONVERTIBLE
6.7,2010,INFINITI,INFINITI M30D GT PREMIUM SEDAN
6.0,2007,INFINITI,INFINITI M35 SPORT
5.1,2012,INFINITI,INFINITI M35H
5.5,2011,INFINITI,INFINITI M37
5.4,2012,INFINITI,INFINITI M37 SPORT
5.7,2003,INFINITI,INFINITI M45
5.6,2006,INFINITI,INFINITI M45 SPORT
4.8,2011,INFINITI,INFINITI M56X
4.7,2011,INFINITI,INFINITI M56S
7.1,1990,INFINITI,INFINITI Q45
7.2,1991,INFINITI,INFINITI Q45
7.4,1993,INFINITI,INFINITI Q45
7.1,1994,INFINITI,INFINITI Q45T
7.9,1995,INFINITI,INFINITI Q45T
7.8,1995,INFINITI,INFINITI Q45A W/ FULL-ACTIVE SUSPENSION (FAS)
7.5,1997,INFINITI,INFINITI Q45T
7.3,1998,INFINITI,STILLEN INFINITI INDY Q (Q45T)
7.5,1999,INFINITI,INFINITI Q45T
6.0,2002,INFINITI,INFINITI Q45
5.0,2014,INFINITI,INFINITI Q50S HYBRID
5.1,2014,INFINITI,INFINITI Q50S
4.5,2016,INFINITI,INFINITI Q50 RED SPORT 400
5.0,2018,INFINITI,INFINITI Q50 3.0T SPORT
5.6,2014,INFINITI,INFINITI Q60 CONVERTIBLE (BASE)
4.5,2017,INFINITI,INFINITI Q60 RED SPORT 400
7.0,2017,INFINITI,INFINITI Q60 2.0T PREMIUM
5.4,2018,INFINITI,INFINITI Q60 3.0T SPORT
4.9,2015,INFINITI,INFINITI Q70 5.6
5.6,2015,INFINITI,INFINITI Q70L 3.7X
4.8,2015,INFINITI,INFINITI Q70L 5.6X
5.7,2015,INFINITI,INFINITI Q70 3.7
8.6,2015,INFINITI,INFINITI Q70 2.2D PREMIUM TECH
5.1,2016,INFINITI,INFINITI Q70L 5.6X
5.1,2017,INFINITI,INFINITI Q70L 5.6X
8.2,2016,INFINITI,INFINITI QX30 2.2D
11.6,2016,INFINITI,INFINITI QX30 1.5D
6.4,2017,INFINITI,INFINITI QX30 2.0T PREMIUM AWD
6.2,2017,INFINITI,INFINITI QX30 2.0T SPORT
11.5,1997,INFINITI,INFINITI QX4 4X4
9.0,2001,INFINITI,INFINITI QX4 4X4
8.6,2003,INFINITI,INFINITI QX4 4X4
7.8,2015,INFINITI,INFINITI QX50 3.0D GT PREMIUM
5.5,2016,INFINITI,INFINITI QX50
6.3,2019,INFINITI,INFINITI QX50 ESSENTIAL
7.0,2004,INFINITI,INFINITI QX56 4X4
7.0,2007,INFINITI,INFINITI QX56 4X4
6.2,2011,INFINITI,INFINITI QX56 4X4
7.8,2014,INFINITI,INFINITI QX60 HYBRID AWD
7.9,2016,INFINITI,INFINITI QX60 AWD
7.2,2017,INFINITI,INFINITI QX60 AWD
7.3,2022,INFINITI,INFINITI QX60 SENSORY AWD
6.1,2014,INFINITI,INFINITI QX70 3.7 AWD
6.1,2014,INFINITI,INFINITI QX70 3.7
8.0,2015,INFINITI,INFINITI QX70 3.0D S DESIGN
6.0,2017,INFINITI,INFINITI QX70 LIMITED AWD
6.2,2016,INFINITI,INFINITI QX80 LIMITED AWD
6.3,2018,INFINITI,INFINITI QX80 AWD
5.9,2021,INFINITI,INFINITI QX80 PREMIUM SELECT AWD
