0_60_time,year,manufacturer,model
8.3,2004,KIA,KIA AMANTI
7.5,2009,KIA,KIA BORREGO LIMITED 4X4
7.2,2009,KIA,KIA BORREGO EX V8 4X4
6.2,2014,KIA,KIA CADENZA LIMITED
6.6,2017,KIA,KIA CADENZA SXL
6.5,2020,KIA,KIA CADENZA TECHNOLOGY
10.6,2007,KIA,KIA CARENS 2.0 CRDI DIESEL
10.1,2013,KIA,KIA CARENS 1.7 CRDI DIESEL
10.5,2013,KIA,KIA CARENS 1.6 GDI 1
12.2,2017,KIA,KIA CARENS 1.7 CRDI DIESEL
9.4,2018,KIA,KIA CARENS 2.0 GDI
7.8,2022,KIA,KIA CARNIVAL EX
7.0,2022,KIA,KIA CARNIVAL SX
7.3,2022,KIA,KIA CARNIVAL SX PRESTIGE
10.4,2006,KIA,KIA CEED 1.6 S
11.3,2007,KIA,KIA CEED SW 1.6 CRDI DIESEL
13.1,2009,KIA,KIA CEED ECODYNAMICS
12.4,2012,KIA,KIA CEED 1.4 5-DOOR
10.1,2012,KIA,KIA CEED 1.6 GDI 4
10.4,2013,KIA,KIA CEED 1.6 CRDI DIESEL 3 SPORTWAGON
10.2,2015,KIA,KIA CEED 1.6 CRDI 136
10.9,2015,KIA,KIA CEED 1.0 ECOTURBO GT-LINE
8.3,2018,KIA,KIA CEED 1.4 T-GDI
9.7,2019,KIA,KIA CEED 1.6 CRDI DIESEL GT-LINE
10.7,2019,KIA,KIA CEED 1.0T GDI 2
8.9,2020,KIA,KIA XCEED 1.4
8.7,2005,KIA,KIA CERATO SE
4.5,2022,KIA,KIA EV6 GT-LINE
7.3,2010,KIA,KIA FORTE SX (MANUAL)
8.7,2010,KIA,KIA FORTE SX
7.1,2010,KIA,KIA FORTE KOUP SX
9.0,2011,KIA,KIA FORTE EX
7.5,2014,KIA,KIA FORTE EX
6.8,2014,KIA,KIA FORTE KOUP SX TURBO
8.4,2017,KIA,KIA FORTE EX
8.5,2017,KIA,KIA FORTE S
8.1,2019,KIA,KIA FORTE EX
6.7,2020,KIA,KIA FORTE GT
6.4,2022,KIA,KIA FORTE GT
8.8,2011,KIA,KIA FORTE SX HATCHBACK
7.5,2011,KIA,KIA FORTE SX HATCHBACK (MANUAL)
6.7,2014,KIA,KIA FORTE5 SX TURBO
6.5,2015,KIA,KIA FORTE5 SX TURBO (MANUAL)
6.6,2017,KIA,KIA FORTE5 SX TURBO (MANUAL)
6.7,2017,KIA,KIA FORTE5 SX TURBO
7.0,2021,KIA,KIA K5 GT-LINE
5.4,2021,KIA,KIA K5 GT
7.8,2021,KIA,KIA K5 EX
5.5,2015,KIA,KIA K900 V8 LUXURY
6.3,2016,KIA,KIA K900 V6 LUXURY
5.1,2019,KIA,KIA K900 V6 LUXURY
8.8,2017,KIA,KIA NIRO ECOHYBRID
9.6,2017,KIA,KIA NIRO TOURING ECOHYBRID
9.0,2018,KIA,KIA NIRO EX PREMIUM PLUG-IN HYBRID
6.7,2019,KIA,KIA NIRO EV EX PREMIUM
9.3,2021,KIA,KIA NIRO EX PREMIUM ECOHYBRID
8.7,2001,KIA,KIA OPTIMA SE V6
8.3,2003,KIA,KIA OPTIMA LX (MANUAL)
8.6,2007,KIA,KIA OPTIMA EX V6
8.9,2007,KIA,KIA OPTIMA EX
7.8,2011,KIA,KIA OPTIMA EX
8.9,2011,KIA,KIA OPTIMA HYBRID
6.5,2011,KIA,KIA OPTIMA SX TURBO
9.9,2012,KIA,KIA OPTIMA 1.7 CRDI DIESEL
7.2,2013,KIA,KIA OPTIMA SX LIMITED
8.1,2014,KIA,KIA OPTIMA HYBRID EX
8.4,2014,KIA,KIA OPTIMA EX
7.2,2016,KIA,KIA OPTIMA SX LIMITED TURBO
9.7,2016,KIA,KIA OPTIMA 1.7 CRDI DIESEL
7.5,2016,KIA,KIA OPTIMA EX
6.8,2016,KIA,KIA OPTIMA SX TURBO
7.4,2016,KIA,KIA OPTIMA LX 1.6T
7.2,2016,KIA,KIA OPTIMA SPORTSWAGON GT 2.0T
10.7,2016,KIA,KIA OPTIMA SPORTSWAGON 1.7 CRDI DIESEL GT-LINE S
8.0,2017,KIA,KIA OPTIMA PLUG-IN HYBRID
7.9,2017,KIA,KIA OPTIMA HYBRID EX
6.7,2019,KIA,KIA OPTIMA SX TURBO
14.6,2007,KIA,KIA PICANTO 1.1 ICE
11.0,2011,KIA,KIA PICANTO 1.25 5-DOOR
13.9,2011,KIA,KIA PICANTO 1.0 5-DOOR
10.6,2012,KIA,KIA PICANTO 1.2 ECODYNAMICS 5-DOOR
10.6,2013,KIA,KIA PICANTO 1.25 ECODYNAMICS HALO 3-DOOR
13.8,2017,KIA,KIA PICANTO 1.0 2
11.6,2017,KIA,KIA PICANTO 1.2 GT-LINE
7.2,2014,KIA,KIA PROCEE'D 1.6 GT
10.3,2016,KIA,KIA PROCEE'D 1.0 T-GDI GT-LINE
9.8,2001,KIA,KIA RIO
9.8,2004,KIA,KIA RIO CINCO STATION WAGON
9.4,2008,KIA,KIA RIO
15.9,2011,KIA,KIA RIO 1.1D DIESEL
13.9,2011,KIA,KIA RIO 1.4D DIESEL
10.0,2017,KIA,KIA RIO3 1.0 T-GDI
9.6,2006,KIA,KIA RIO5 SX
9.5,2012,KIA,KIA RIO5 SX
7.9,2012,KIA,KIA RIO5 LX
8.9,2012,KIA,KIA RIO5 EX
8.2,2013,KIA,KIA RIO5 SX
10.7,2015,KIA,KIA RIO5 1.4
8.6,2018,KIA,KIA RIO EX 5-DOOR
8.6,2021,KIA,KIA RIO5 S 5-DOOR
8.8,2007,KIA,KIA RONDO EX
9.7,2002,KIA,KIA SEDONA EX
8.0,2006,KIA,KIA SEDONA LX
8.2,2006,KIA,KIA SEDONA EX
8.2,2011,KIA,KIA SEDONA
7.6,2015,KIA,KIA SEDONA SX LUXURY
7.0,2021,KIA,KIA SELTOS SX TURBO
11.7,2021,KIA,KIA SELTOS 1.5
10.1,1994,KIA,KIA SEPHIA GS
9.9,1995,KIA,KIA SEPHIA LS
10.7,1995,KIA,KIA SEPHIA LS (MANUAL)
8.7,1997,KIA,KIA SEPHIA LS
10.2,2000,KIA,KIA SEPHIA LS
9.2,2003,KIA,KIA SORENTO EX V6
9.3,2011,KIA,KIA SORENTO EX
7.0,2011,KIA,KIA SORENTO EX V6
7.1,2011,KIA,KIA SORENTO SX V6 AWD
10.2,2012,KIA,KIA SORENTO 2.0 CRDI DIESEL
7.1,2014,KIA,KIA SORENTO SX V6 AWD
8.6,2014,KIA,KIA SORENTO LX 2.4L
9.3,2015,KIA,KIA SORENTO 2.2 CRDI DIESEL KX-1 AWD
7.1,2016,KIA,KIA SORENTO V6 AWD
8.5,2016,KIA,KIA SORENTO SXL TURBO AWD
9.1,2016,KIA,KIA SORENTO 2.4L
8.8,2017,KIA,KIA SORENTO DIESEL KX-3 AWD
7.4,2019,KIA,KIA SORENTO SXL V6 AWD
6.3,2021,KIA,KIA SORENTO SX PRESTIGE X-LINE AWD
7.2,2022,KIA,KIA SORENTO EX HYBRID
7.5,2022,KIA,KIA SORENTO SX PRESTIGE ECO PLUG-IN HYBRID AWD
8.1,2010,KIA,KIA SOUL SPORT
8.2,2012,KIA,KIA SOUL !
9.1,2012,KIA,KIA SOUL (1.6L)
7.4,2012,KIA,KIA SOUL +
7.4,2013,KIA,KIA SOUL +
10.6,2014,KIA,KIA SOUL 1.6 GDI
10.2,2014,KIA,KIA SOUL 1.6 CRDI DIESEL
8.2,2014,KIA,KIA SOUL !
8.3,2014,KIA,KIA SOUL
8.4,2015,KIA,KIA SOUL +
9.2,2015,KIA,KIA SOUL EV +
6.4,2017,KIA,KIA SOUL !
8.1,2020,KIA,KIA SOUL X-LINE
6.4,2020,KIA,KIA SOUL GT-LINE TURBO
10.0,2001,KIA,KIA SPECTRA GSX
8.7,2001,KIA,KIA SPECTRA GSX (MANUAL)
9.2,2002,KIA,KIA SPECTRA LS
8.5,2005,KIA,KIA SPECTRA SX
8.6,2005,KIA,KIA SPECTRA EX
8.2,2005,KIA,KIA SPECTRA5
11.8,1996,KIA,KIA SPORTAGE EX 4X4
12.5,2001,KIA,KIA SPORTAGE LIMITED 4X4
10.3,2005,KIA,KIA SPORTAGE EX V6 AWD
11.6,2007,KIA,KIA SPORTAGE 2.0 CRDI DIESEL XE
10.5,2010,KIA,KIA SPORTAGE 2.0 CRDI DIESEL AWD
9.3,2011,KIA,KIA SPORTAGE EX AWD
6.2,2011,KIA,KIA SPORTAGE SX AWD
7.2,2011,KIA,KIA SPORTAGE SX
11.5,2011,KIA,KIA SPORTAGE 1.7 CRDI DIESEL
10.3,2011,KIA,KIA SPORTAGE 1.6 GDI 1
8.8,2012,KIA,KIA SPORTAGE EX
7.5,2014,KIA,KIA SPORTAGE SX TURBO AWD
6.5,2015,KIA,KIA SPORTAGE SX
8.9,2016,KIA,KIA SPORTAGE 2.0 DIESEL AWD
8.8,2017,KIA,KIA SPORTAGE EX AWD
6.7,2017,KIA,KIA SPORTAGE SX TURBO
8.0,2017,KIA,KIA SPORTAGE FE LX
7.0,2017,KIA,KIA SPORTAGE SX TURBO AWD
9.8,2018,KIA,KIA SPORTAGE 2.0 CRDI DIESEL
7.4,2020,KIA,KIA SPORTAGE SX TURBO AWD
4.7,2018,KIA,KIA STINGER GT AWD
4.6,2018,KIA,KIA STINGER GT
6.4,2018,KIA,KIA STINGER 2.0T
6.1,2018,KIA,KIA STINGER 2.0T AWD
4.6,2019,KIA,KIA STINGER GT
5.7,2022,KIA,KIA STINGER GT-LINE
4.6,2022,KIA,KIA STINGER GT AWD
7.1,2020,KIA,KIA TELLURIDE SX
13.5,2015,KIA,KIA VENGA 1.4 CRDI SR7
10.2,2018,KIA,KIA VENGA 1.6
