0_60_time,year,manufacturer,model
7.5,2003,LINCOLN,LINCOLN AVIATOR AWD
6.0,2020,LINCOLN,LINCOLN AVIATOR BLACK LABEL AWD
5.4,2020,LINCOLN,LINCOLN AVIATOR GRAND TOURING PLUG-IN HYBRID
5.4,2020,LINCOLN,LINCOLN AVIATOR RESERVE AWD
8.2,2002,LINCOLN,LINCOLN BLACKWOOD
6.3,2003,LINCOLN,PAXTON SUPERCHARGED LINCOLN BLACKWOOD
10.5,1988,LINCOLN,LINCOLN CONTINENTAL SIGNATURE SERIES
11.3,1990,LINCOLN,LINCOLN CONTINENTAL
7.7,1995,LINCOLN,LINCOLN CONTINENTAL
7.5,1998,LINCOLN,LINCOLN CONTINENTAL
5.1,2017,LINCOLN,LINCOLN CONTINENTAL 3.0T AWD
6.2,2020,LINCOLN,LINCOLN CORSAIR 2.3T RESERVE AWD
6.6,2020,LINCOLN,LINCOLN CORSAIR GRAND TOURING PLUG-IN HYBRID
6.7,2020,LINCOLN,LINCOLN CORSAIR 2.0T AWD
7.9,2000,LINCOLN,LINCOLN LS V6 (MANUAL)
6.4,2000,LINCOLN,NOLOGY LINCOLN LS W/NOS
7.3,2000,LINCOLN,LINCOLN LS V8
8.8,2001,LINCOLN,LINCOLN LS V6
7.8,2002,LINCOLN,LINCOLN LS V6 (MANUAL)
6.6,2003,LINCOLN,LINCOLN LS V8
6.7,2006,LINCOLN,LINCOLN LS V8
10.9,1980,LINCOLN,LINCOLN MARK VI
9.7,1984,LINCOLN,LINCOLN MARK VII LSC
9.1,1988,LINCOLN,LINCOLN MARK VII LSC
6.6,1993,LINCOLN,LINCOLN MARK VIII
7.5,1995,LINCOLN,LINCOLN MARK VIII
7.1,1996,LINCOLN,LINCOLN MARK VIII
6.9,1998,LINCOLN,LINCOLN MARK VIII LSC
9.2,2006,LINCOLN,LINCOLN MARK LT
8.3,2010,LINCOLN,LINCOLN MARK LT
6.5,2015,LINCOLN,LINCOLN MKC RESERVE 2.3T AWD
7.4,2016,LINCOLN,LINCOLN MKC SELECT 2.0T
7.2,2009,LINCOLN,LINCOLN MKS AWD
5.3,2010,LINCOLN,LINCOLN MKS ECOBOOST AWD
5.2,2013,LINCOLN,LINCOLN MKS ECOBOOST AWD
6.1,2010,LINCOLN,LINCOLN MKT 3.5 ECOBOOST
7.6,2007,LINCOLN,LINCOLN MKX AWD
7.3,2009,LINCOLN,LINCOLN MKX AWD
7.2,2011,LINCOLN,LINCOLN MKX AWD
6.3,2011,LINCOLN,LINCOLN MKX
6.1,2016,LINCOLN,LINCOLN MKX 2.7 ECOBOOST AWD
6.4,2016,LINCOLN,LINCOLN MKX 2.7 ECOBOOST
6.4,2017,LINCOLN,LINCOLN MKX 2.7 ECOBOOST
7.0,2007,LINCOLN,LINCOLN MKZ AWD
7.0,2010,LINCOLN,LINCOLN MKZ
8.4,2011,LINCOLN,LINCOLN MKZ HYBRID
7.0,2012,LINCOLN,LINCOLN MKZ
6.3,2013,LINCOLN,LINCOLN MKZ 3.7L AWD
8.9,2014,LINCOLN,LINCOLN MKZ HYBRID
7.0,2014,LINCOLN,LINCOLN MKZ 2.0T AWD
5.0,2017,LINCOLN,LINCOLN MKZ 3.0T AWD
8.7,2017,LINCOLN,LINCOLN MKZ HYBRID
5.9,2019,LINCOLN,LINCOLN NAUTILUS 2.7T BLACK LABEL AWD
6.8,2019,LINCOLN,LINCOLN NAUTILUS 2.0T RESERVE AWD
5.7,2021,LINCOLN,LINCOLN NAUTILUS 2.7T BLACK LABEL AWD
10.1,1998,LINCOLN,LINCOLN NAVIGATOR 4X4
8.1,1999,LINCOLN,LINCOLN NAVIGATOR 4X4
9.4,2004,LINCOLN,LINCOLN NAVIGATOR 4X4
8.3,2007,LINCOLN,LINCOLN NAVIGATOR 4X4
8.3,2012,LINCOLN,LINCOLN NAVIGATOR 4X4
6.2,2015,LINCOLN,LINCOLN NAVIGATOR 4X4
6.5,2016,LINCOLN,LINCOLN NAVIGATOR L 4X4
5.5,2018,LINCOLN,LINCOLN NAVIGATOR L 4X4
5.9,2018,LINCOLN,LINCOLN NAVIGATOR 4X4
5.6,2020,LINCOLN,LINCOLN NAVIGATOR BLACK LABEL 4X4
5.2,2021,LINCOLN,LINCOLN NAVIGATOR BLACK LABEL 4X4
11.7,1956,LINCOLN,LINCOLN PREMIERE CONVERTIBLE
10.3,1973,LINCOLN,LINCOLN TOWN CAR
10.4,1975,LINCOLN,LINCOLN TOWN CAR COUPE
10.2,1990,LINCOLN,LINCOLN TOWN CAR
7.9,1998,LINCOLN,LINCOLN TOWN CAR SIGNATURE SERIES TOURING
9.3,2000,LINCOLN,LINCOLN TOWN CAR CARTIER L
9.4,2003,LINCOLN,LINCOLN TOWN CAR CARTIER
12.0,2005,LINCOLN,"LINCOLN TOWN CAR ""BPS"" ARMORED CAR"
8.1,2011,LINCOLN,LINCOLN TOWN CAR SIGNATURE LIMITED
12.4,1977,LINCOLN,LINCOLN VERSAILLES
7.4,2006,LINCOLN,LINCOLN ZEPHYR
