0_60_time,year,manufacturer,model
10.1,2007,MAZDA,MAZDA 2 1.5 SPORT
12.5,2007,MAZDA,MAZDA 2 1.3 TS2
12.5,2008,MAZDA,MAZDA 2 1.3 TS2 3-DOOR HATCHBACK
10.3,2008,MAZDA,MAZDA 2
10.5,2011,MAZDA,MAZDA 2 TOURING
8.7,2011,MAZDA,MAZDA 2 TOURING (MANUAL)
11.5,2012,MAZDA,MAZDA 2 TS2
9.8,2015,MAZDA,MAZDA 2 1.5D DIESEL
9.1,2015,MAZDA,MAZDA 2 1.5 SPORT BLACK
7.5,2004,MAZDA,MAZDA S HATCHBACK
8.6,2005,MAZDA,MAZDA 3 S
7.2,2007,MAZDA,MAZDA 3 S TOURING
9.6,2007,MAZDA,MAZDA 3 2.0D
8.5,2008,MAZDA,MAZDA 3 S GRAND TOURING
11.8,2009,MAZDA,MAZDA 3 1.6
7.3,2010,MAZDA,MAZDA 3 S SPORT HATCHBACK
7.5,2010,MAZDA,MAZDA 3 S GRAND TOURING HATCHBACK  (MANUAL)
7.9,2010,MAZDA,MAZDA 3 S GRAND TOURING HATCHBACK
7.6,2010,MAZDA,MAZDA 3 S GRAND TOURING
8.9,2011,MAZDA,MAZDA 3 I TOURING
7.4,2011,MAZDA,MAZDA 3 S SPORT
8.1,2011,MAZDA,MAZDA 3 S GRAND TOURING
7.9,2012,MAZDA,MAZDA 3 2.2D 185 SPORT HATCHBACK
7.8,2012,MAZDA,MAZDA 3 I TOURING (MANUAL)
8.9,2012,MAZDA,MAZDA 3 I TOURING
8.3,2013,MAZDA,MAZDA 3 I GRAND TOURING
7.7,2014,MAZDA,MAZDA 3 I SV
6.6,2014,MAZDA,MAZDA 3 S GRAND TOURING HATCHBACK (MANUAL)
7.7,2014,MAZDA,MAZDA 3 I GRAND TOURING HATCHBACK
7.8,2014,MAZDA,MAZDA 3 2.2D SE-L
7.0,2014,MAZDA,MAZDA 3 S GRAND TOURING HATCHBACK
7.9,2014,MAZDA,MAZDA 3 I TOURING
7.8,2014,MAZDA,MAZDA 3 I GRAND TOURING
7.9,2014,MAZDA,MAZDA 3 I GRAND TOURING HATCHBACK
7.3,2015,MAZDA,MAZDA 3 S GRAND TOURING HATCHBACK (MANUAL)
6.8,2016,MAZDA,MAZDA 3 S GRAND TOURING HATCHBACK
8.2,2016,MAZDA,MAZDA 3 I GRAND TOURING
7.5,2016,MAZDA,MAZDA 3 I GRAND TOURING
7.5,2016,MAZDA,MAZDA 3 HATCHBACK 2.0L
7.3,2017,MAZDA,MAZDA 3 GRAND TOURING HATCHBACK
7.4,2017,MAZDA,MAZDA 3 TOURING HATCHBACK 2.5L
7.9,2017,MAZDA,MAZDA 3 TOURING
