0_60_time,year,manufacturer,model
8.7,1984,NISSAN,NISSAN 200SX TURBO
8.8,1985,NISSAN,NISSAN 200SX TURBO
10.0,1987,NISSAN,NISSAN 200SX SE
8.0,1995,NISSAN,NISSAN 200SX SE-R
7.3,1996,NISSAN,STILLEN NISSAN 200SX SE-R
7.7,1997,NISSAN,NISSAN 200SX SE-R
8.1,1998,NISSAN,NISSAN 200SX SE-R (AUTO)
8.6,1990,NISSAN,NISSAN 240SX SE
8.6,1991,NISSAN,NISSAN 240SX SE
9.5,1992,NISSAN,NISSAN 240SX CONVERTIBLE
9.5,1993,NISSAN,NISSAN 240SX CONVERTIBLE
8.6,1993,NISSAN,NISSAN 240SX
8.0,1996,NISSAN,NISSAN 240SX SE
7.3,1984,NISSAN,NISSAN 300ZX TURBO
8.5,1985,NISSAN,NISSAN 300ZX 2+2
7.3,1985,NISSAN,NISSAN 300ZX TURBO
8.7,1987,NISSAN,NISSAN 300ZX 2+2
7.4,1989,NISSAN,NISSAN 300ZX TURBO
6.7,1990,NISSAN,NISSAN 300ZX GS
5.8,1990,NISSAN,NISSAN 300ZX TWIN TURBO
5.0,1991,NISSAN,NISSAN 300ZX TWIN TURBO
5.1,1992,NISSAN,NISSAN 300ZX TWIN TURBO
5.1,1993,NISSAN,NISSAN 300ZX TWIN TURBO
4.9,1993,NISSAN,STILLEN NISSAN 300ZX GTZ
5.4,1995,NISSAN,NISSAN 300ZX TWIN TURBO
5.4,1996,NISSAN,NISSAN 300ZX TWIN TURBO
5.4,2003,NISSAN,NISSAN 350Z TRACK
4.6,2003,NISSAN,GREDDY NISSAN 350Z
5.6,2003,NISSAN,NISSAN 350Z ENTHUSIAST
5.9,2004,NISSAN,NISSAN 350Z TOURING
5.7,2004,NISSAN,NISSAN 350Z ENTHUSIAST ROADSTER
5.7,2004,NISSAN,NISSAN 350Z TOURING ROADSTER
5.7,2005,NISSAN,NISSAN 350Z 35TH ANNIVERSARY EDITION
5.7,2006,NISSAN,NISSAN 350Z GRAND TOURING ROADSTER
5.2,2007,NISSAN,NISSAN 350Z NISMO
5.2,2007,NISSAN,NISSAN 350Z ENTHUSIAST
5.2,2008,NISSAN,NISSAN 350Z ENTHUSIAST
5.2,2008,NISSAN,NISSAN 350Z NISMO
4.5,2009,NISSAN,NISSAN 370Z NISMO
4.5,2009,NISSAN,NISSAN 370Z TOURING
4.8,2009,NISSAN,NISSAN 370Z TOURING (MANUAL)
4.5,2010,NISSAN,STILLEN NISSAN 370Z
5.4,2010,NISSAN,NISSAN 370Z TOURING ROADSTER
4.9,2010,NISSAN,NISSAN 370Z NISMO
4.9,2010,NISSAN,NISSAN 370Z TOURING ROADSTER (MANUAL)
4.8,2011,NISSAN,NISSAN 370Z
5.1,2012,NISSAN,NISSAN 370Z GT EDITION
4.9,2015,NISSAN,NISSAN 370Z NISMO (MANUAL)
4.9,2015,NISSAN,NISSAN 370Z NISMO
5.1,2016,NISSAN,NISSAN 370Z
5.3,2018,NISSAN,NISSAN 370Z HERITAGE EDITION
5.0,2019,NISSAN,NISSAN 370Z HERITAGE EDITION
8.0,1993,NISSAN,NISSAN ALTIMA SE
9.2,1994,NISSAN,NISSAN ALTIMA GXE
8.1,1998,NISSAN,NISSAN ALTIMA SE
9.6,1999,NISSAN,NISSAN ALTIMA XE
7.2,2002,NISSAN,NISSAN ALTIMA 3.5 SE
5.9,2002,NISSAN,NISSAN ALTIMA 3.5 SE (MANUAL)
5.9,2003,NISSAN,NISSAN ALTIMA 3.5 SE (MANUAL)
6.0,2005,NISSAN,NISSAN ALTIMA SE-R (MANUAL)
6.2,2006,NISSAN,NISSAN ALTIMA SE-R
6.4,2007,NISSAN,NISSAN ALTIMA 3.5 SE
5.9,2007,NISSAN,NISSAN ALTIMA 3.5 SE (MANUAL)
7.2,2007,NISSAN,NISSAN ALTIMA HYBRID
7.2,2007,NISSAN,NISSAN ALTIMA 2.5 (MANUAL)
5.8,2008,NISSAN,NISSAN ALTIMA 3.5 SE COUPE (MANUAL)
7.5,2008,NISSAN,NISSAN ALTIMA 2.5
5.8,2009,NISSAN,NISSAN ALTIMA 3.5 SE COUPE
7.1,2009,NISSAN,NISSAN ALTIMA HYBRID
5.7,2010,NISSAN,NISSAN ALTIMA 3.5 SR
7.6,2011,NISSAN,NISSAN ALTIMA 2.5
7.5,2013,NISSAN,NISSAN ALTIMA 2.5
6.1,2013,NISSAN,NISSAN ALTIMA 3.5 SV
5.9,2016,NISSAN,NISSAN ALTIMA 3.5 SR
8.0,2016,NISSAN,NISSAN ALTIMA 2.5
6.0,2019,NISSAN,NISSAN ALTIMA PLATINUM VC-TURBO EDITION ONE
6.1,2019,NISSAN,NISSAN ALTIMA SR VC-TURBO
7.7,2019,NISSAN,NISSAN ALTIMA PLATINUM AWD
7.7,2019,NISSAN,NISSAN ALTIMA SL AWD
7.4,2019,NISSAN,NISSAN ALTIMA SV AWD
7.4,2020,NISSAN,NISSAN ALTIMA SR AWD
5.8,2021,NISSAN,NISSAN ALTIMA SR VC-TURBO
7.0,2004,NISSAN,NISSAN ARMADA LE
7.0,2004,NISSAN,NISSAN ARMADA SE 4X4
6.7,2008,NISSAN,NISSAN ARMADA LE 4X4
6.1,2017,NISSAN,NISSAN ARMADA PLATINUM
6.5,2021,NISSAN,NISSAN ARMADA PLATINUM
9.1,2009,NISSAN,NISSAN CUBE 1.8 S (MANUAL)
10.9,2010,NISSAN,NISSAN CUBE 1.6 KAIZEN
9.3,2010,NISSAN,NISSAN CUBE 1.8 S (CVT)
11.4,1998,NISSAN,NISSAN FRONTIER XE KING CAB 4X4
11.3,1999,NISSAN,NISSAN FRONTIER SE KING CAB 4X2
10.0,2000,NISSAN,NISSAN FRONTIER SE CREW CAB 4X4
8.9,2001,NISSAN,NISSAN FRONTIER XE-V6 CREW CAB 4X2
9.1,2001,NISSAN,NISSAN FRONTIER SC-V6 DESERT RUNNER CREW CAB 4X2
7.6,2005,NISSAN,NISSAN FRONTIER NISMO KING CAB 4X4
7.4,2010,NISSAN,NISSAN FRONTIER SE CREW CAB 4X4
7.2,2012,NISSAN,NISSAN FRONTIER PRO-4X KING CAB
7.3,2017,NISSAN,NISSAN FRONTIER PRO-4X CREW CAB 4X4
7.4,2020,NISSAN,NISSAN FRONTIER PRO-4X CREW CAB 4X4
7.3,2022,NISSAN,NISSAN FRONTIER PRO-4X CREW CAB 4X4
3.4,2008,NISSAN,NISSAN GT-R
3.0,2008,NISSAN,MINE'S MOTOR SPORTS NISSAN GT-R
3.2,2009,NISSAN,NISSAN GT-R
3.3,2009,NISSAN,NISSAN GT-R PREMIUM
2.7,2009,NISSAN,AMS PERFORMANCE ALPHA RONIN GT-R
2.6,2009,NISSAN,AMS PERFORMANCE ALPHA ALPHA 9 GT-R
2.5,2009,NISSAN,GREDDY NISSAN GT-R GT43
3.2,2009,NISSAN,NISSAN GT-R SPECV
3.6,2010,NISSAN,NISSAN GT-R PREMIUM
3.0,2010,NISSAN,HKS NISSAN GT-R
3.4,2011,NISSAN,NISSAN GT-R PREMIUM
2.9,2012,NISSAN,NISSAN GT-R PREMIUM
2.6,2012,NISSAN,HENNESSEY NISSAN GT-R HPE800
2.9,2013,NISSAN,NISSAN GT-R PREMIUM
2.8,2013,NISSAN,NISSAN GT-R BLACK EDITION
2.8,2014,NISSAN,NISSAN GT-R TRACK EDITION
2.9,2014,NISSAN,NISSAN GT-R
1.5,2014,NISSAN,AMS PERFORMANCE ALPHA OMEGA NISSAN GT-R
2.8,2015,NISSAN,NISSAN GT-R NISMO
2.9,2015,NISSAN,NISSAN GT-R PREMIUM
2.9,2016,NISSAN,NISSAN GT-R 45TH ANNIVERSARY GOLD EDITION
2.9,2017,NISSAN,NISSAN GT-R NISMO
2.7,2017,NISSAN,LITCHFIELD NISSAN GT-R LM20 TRACK EDITION
2.9,2017,NISSAN,NISSAN GT-R PREMIUM
2.9,2018,NISSAN,NISSAN GT-R TRACK EDITION
2.9,2019,NISSAN,NISSAN GT-R PURE
7.7,2011,NISSAN,NISSAN JUKE 1.6 DIG-T TEKNA DIESEL
7.2,2011,NISSAN,NISSAN JUKE SL
3.5,2012,NISSAN,NISSAN JUKE R
10.8,2012,NISSAN,NISSAN JUKE 1.5 DCI ACENTA PREMIUM
7.0,2012,NISSAN,NISSAN JUKE SV AWD
6.9,2013,NISSAN,NISSAN JUKE NISMO
6.5,2014,NISSAN,NISSAN JUKE NISMO RS
10.4,2014,NISSAN,NISSAN JUKE 1.2 DIG-T TEKNA
7.1,2015,NISSAN,NISSAN JUKE SL AWD
3.4,2015,NISSAN,NISSAN JUKE R
7.0,2017,NISSAN,NISSAN JUKE S AWD
9.7,2018,NISSAN,NISSAN KICKS SR
10.1,2022,NISSAN,NISSAN KICKS SR
9.5,2011,NISSAN,NISSAN LEAF SL
6.9,2012,NISSAN,NISSAN LEAF EV NISMO RACE CAR
9.8,2013,NISSAN,NISSAN LEAF S
11.1,2014,NISSAN,NISSAN LEAF ACENTA
9.8,2015,NISSAN,NISSAN LEAF SL
10.0,2016,NISSAN,NISSAN LEAF SL
7.4,2018,NISSAN,NISSAN LEAF
6.8,2019,NISSAN,NISSAN LEAF SL PLUS
6.8,2019,NISSAN,NISSAN LEAF SV PLUS
6.7,2022,NISSAN,NISSAN LEAF PLUS
9.1,1985,NISSAN,NISSAN MAXIMA SE (MANUAL)
8.2,1989,NISSAN,NISSAN MAXIMA SE (MANUAL)
8.0,1991,NISSAN,NISSAN MAXIMA SE (MANUAL)
6.6,1992,NISSAN,NISSAN MAXIMA SE (MANUAL)
8.6,1994,NISSAN,NISSAN MAXIMA SE
7.6,1995,NISSAN,NISSAN MAXIMA GXE
6.5,1995,NISSAN,NISSAN MAXIMA SE (MANUAL)
7.0,1997,NISSAN,NISSAN MAXIMA SE
8.0,2000,NISSAN,NISSAN MAXIMA GXE
6.7,2000,NISSAN,NISSAN MAXIMA SE (MANUAL)
5.9,2002,NISSAN,NISSAN MAXIMA SE (MANUAL)
6.3,2004,NISSAN,NISSAN MAXIMA 3.5 SE (MANUAL)
6.3,2004,NISSAN,NISSAN MAXIMA 3.5 SE
6.3,2005,NISSAN,NISSAN MAXIMA 3.5 SE (MANUAL)
5.9,2009,NISSAN,NISSAN MAXIMA SV
5.9,2010,NISSAN,NISSAN MAXIMA SV
5.8,2011,NISSAN,NISSAN MAXIMA SV
5.8,2012,NISSAN,NISSAN MAXIMA S
5.8,2013,NISSAN,NISSAN MAXIMA SV
5.7,2016,NISSAN,NISSAN MAXIMA PLATINUM
5.9,2016,NISSAN,NISSAN MAXIMA SR
5.7,2017,NISSAN,NISSAN MAXIMA PLATINUM
5.8,2019,NISSAN,NISSAN MAXIMA PLATINUM
13.2,2011,NISSAN,NISSAN MICRA 1.2 ACENTA
10.9,2012,NISSAN,NISSAN MICRA DIG-S PURE DRIVE
10.9,2013,NISSAN,NISSAN MICRA DIG-S TEKNA
11.7,2017,NISSAN,NISSAN MICRA 1.0T
11.5,2017,NISSAN,NISSAN MICRA 1.5 DCI
7.2,2003,NISSAN,NISSAN MURANO AWD
7.2,2009,NISSAN,NISSAN MURANO SL
7.0,2009,NISSAN,NISSAN MURANO SL AWD
7.0,2010,NISSAN,NISSAN MURANO SL AWD
10.1,2010,NISSAN,NISSAN MURANO 2.5 D DIESEL AWD
7.8,2011,NISSAN,NISSAN MURANO CROSSCABRIOLET
7.2,2015,NISSAN,NISSAN MURANO PLATINUM AWD
7.3,2018,NISSAN,NISSAN MURANO PLATINUM AWD
7.3,2019,NISSAN,NISSAN MURANO SL
10.4,2019,NISSAN,NISSAN NAVARA N-GUARD 2.3 DCI 4X4
