0_60_time,year,manufacturer,model
11.2,1984,PONTIAC,PONTIAC 6000 STE SEDAN
9.1,2001,PONTIAC,PONTIAC AZTEK
9.5,1987,PONTIAC,PONTIAC BONNEVILLE SE
9.4,1992,PONTIAC,PONTIAC BONNEVILLE SSE
8.0,1992,PONTIAC,PONTIAC BONNEVILLE SSEI
8.5,1993,PONTIAC,PONTIAC BONNEVILLE SLE
7.1,1995,PONTIAC,PONTIAC BONNEVILLE SE
7.2,1998,PONTIAC,PONTIAC BONNEVILLE SE
7.5,2000,PONTIAC,PONTIAC BONNEVILLE SSEI
7.4,2001,PONTIAC,PONTIAC BONNEVILLE SSEI
6.8,2004,PONTIAC,PONTIAC BONNEVILLE GXP
5.4,1962,PONTIAC,PONTIAC CATALINA ROYAL BOBCAT 6.9L
10.7,1984,PONTIAC,PONTIAC FIERO SE
7.9,1986,PONTIAC,PONTIAC FIERO GT
7.7,1988,PONTIAC,PONTIAC FIERO FORMULA
8.6,1988,PONTIAC,PONTIAC FIERO GT
10.1,1967,PONTIAC,PONTIAC FIREBIRD SPRINT
5.5,1968,PONTIAC,PONTIAC FIREBIRD TRANS AM 400 H.O.
5.8,1969,PONTIAC,PONTIAC FIREBIRD TRANS AM 400
6.5,1969,PONTIAC,PONTIAC FIREBIRD TRANS AM 400 (MANUAL)
5.4,1971,PONTIAC,PONTIAC FIREBIRD TRANS AM 455 H.O.
7.1,1973,PONTIAC,PONTIAC FIREBIRD
9.9,1974,PONTIAC,PONTIAC FIREBIRD
9.6,1975,PONTIAC,PONTIAC FIREBIRD TRANS AM 400
7.0,1976,PONTIAC,PONTIAC FIREBIRD TRANS AM 455
11.9,1977,PONTIAC,PONTIAC FIREBIRD FORMULA
9.3,1977,PONTIAC,PONTIAC FIREBIRD TRANS AM
6.3,1978,PONTIAC,PONTIAC FIREBIRD TRANS AM
6.6,1979,PONTIAC,PONTIAC FIREBIRD TRANS AM W72 400
8.0,1980,PONTIAC,PONTIAC FIREBIRD TURBO TRANS AM
8.5,1983,PONTIAC,PONTIAC FIREBIRD TRANS AM
6.7,1984,PONTIAC,PONTIAC FIREBIRD TRANS AM H.O.
7.3,1987,PONTIAC,PONTIAC FIREBIRD TRANS AM GTA
6.8,1987,PONTIAC,PONTIAC FIREBIRD FORMULA
7.6,1988,PONTIAC,PONTIAC FIREBIRD TRANS AM GTA
5.0,1989,PONTIAC,PONTIAC FIREBIRD TRANS AM 20TH ANNIVERSARY
6.4,1991,PONTIAC,PONTIAC FIREBIRD FORMULA
6.9,1991,PONTIAC,PONTIAC FIREBIRD TRANS AM CONVERTIBLE
4.8,1993,PONTIAC,PONTIAC FIREBIRD SLP FIREHAWK
5.5,1993,PONTIAC,PONTIAC FIREBIRD FORMULA
5.5,1993,PONTIAC,PONTIAC FIREBIRD TRANS AM
5.7,1994,PONTIAC,PONTIAC FIREBIRD FORMULA
5.5,1995,PONTIAC,PONTIAC FIREBIRD TRANS AM
5.2,1995,PONTIAC,PONTIAC SLP TRANS AM FIREHAWK
7.1,1995,PONTIAC,PONTIAC FIREBIRD 3.8 V6
5.3,1995,PONTIAC,PONTIAC SLP FIREHAWK
6.1,1995,PONTIAC,PONTIAC FIREBIRD FORMULA CONVERTIBLE
5.7,1996,PONTIAC,PONTIAC FIREBIRD TRANS AM WS6
5.5,1996,PONTIAC,PONTIAC FIREBIRD FORMULA WS6
5.4,1996,PONTIAC,PONTIAC FIREBIRD TRANS AM WS6 (MANUAL)
7.1,1997,PONTIAC,PONTIAC FIREBIRD 3.8 V6
5.2,1997,PONTIAC,PONTIAC FIREBIRD SLP FIREHAWK
5.2,1998,PONTIAC,PONTIAC FIREBIRD FORMULA
