0_60_time,year,manufacturer,model
3.2,2018,TESLA,TESLA MODEL 3 DUAL MOTOR PERFORMANCE
4.0,2018,TESLA,TESLA MODEL 3 DUAL MOTOR LONG RANGE
4.8,2018,TESLA,TESLA MODEL 3 LONG RANGE
3.2,2019,TESLA,TESLA MODEL 3 DUAL MOTOR PERFORMANCE
5.0,2019,TESLA,TESLA MODEL 3 PLUS
5.0,2013,TESLA,TESLA MODEL S 85
4.0,2013,TESLA,TESLA MODEL S SIGNATURE PERFORMANCE 85+
3.9,2013,TESLA,TESLA MODEL S SIGNATURE PERFORMANCE 85
5.5,2014,TESLA,TESLA MODEL S 60
3.3,2014,TESLA,TESLA MODEL S P85D
3.9,2014,TESLA,TESLA MODEL S P85+
3.2,2015,TESLA,TESLA MODEL S P85D
2.8,2015,TESLA,TESLA MODEL S P85D 'LUDICROUS'
5.1,2015,TESLA,TESLA MODEL S 70D
2.7,2015,TESLA,TESLA MODEL S P90D 'LUDICROUS'
5.5,2016,TESLA,TESLA MODEL S 70
5.4,2016,TESLA,TESLA MODEL S 85
4.2,2016,TESLA,TESLA MODEL S 90D
5.0,2016,TESLA,TESLA MODEL S 60
2.8,2016,TESLA,TESLA MODEL S P90D
2.4,2017,TESLA,TESLA MODEL S P100D 'LUDICROUS'
2.3,2017,TESLA,TESLA MODEL S P100D 'LUDICROUS+'
3.9,2018,TESLA,TESLA MODEL S 100D
2.4,2020,TESLA,TESLA MODEL S PERFORMANCE 'LUDICROUS+'
2.0,2022,TESLA,TESLA MODEL S PLAID (VHT PREPPED SURFACE)
2.1,2022,TESLA,TESLA MODEL S PLAID
3.5,2022,TESLA,TESLA MODEL S DUAL MOTOR LONG RANGE PLUS
3.2,2016,TESLA,TESLA MODEL X P90D 'LUDICROUS'
4.8,2016,TESLA,TESLA MODEL X 90D
5.5,2016,TESLA,TESLA MODEL X 75D
2.8,2017,TESLA,TESLA MODEL X P100D 'LUDICROUS'
2.6,2020,TESLA,TESLA MODEL X PERFORMANCE 'LUDICROUS+'
4.4,2020,TESLA,TESLA MODEL Y LONG RANGE
3.4,2020,TESLA,TESLA MODEL Y PERFORMANCE
3.5,2022,TESLA,TESLA MODEL Y DUAL MOTOR PERFORMANCE
4.6,2008,TESLA,TESLA ROADSTER
4.0,2009,TESLA,TESLA ROADSTER
3.7,2010,TESLA,TESLA ROADSTER SPORT
3.7,2011,TESLA,TESLA ROADSTER 2.5 SPORT
