0_60_time,year,manufacturer,model
24.0,1962,VOLKSWAGEN,VOLKSWAGEN 1500 COUPE
22.1,1963,VOLKSWAGEN,VOLKSWAGEN 1500 VARIANT SQUAREBACK
19.1,1964,VOLKSWAGEN,VOLKSWAGEN 1500 S COUPE
16.8,1974,VOLKSWAGEN,VOLKSWAGEN 412 WAGON (3-DOOR)
10.9,2015,VOLKSWAGEN,VOLKSWAGEN AMAROK 2.0 BITDI ATACAMA 4MOTION PICKUP
7.6,2016,VOLKSWAGEN,VOLKSWAGEN AMAROK 3.0 TDI HIGHLINE 4MOTION PICKUP
6.0,2019,VOLKSWAGEN,VOLKSWAGEN ARTEON SE 4MOTION
6.3,2019,VOLKSWAGEN,VOLKSWAGEN ARTEON SEL PREMIUM R-LINE 4MOTION
6.2,2021,VOLKSWAGEN,VOLKSWAGEN ARTEON SEL PREMIUM R-LINE 4MOTION
7.9,2018,VOLKSWAGEN,VOLKSWAGEN ATLAS V6 SEL PREMIUM 4MOTION
7.3,2018,VOLKSWAGEN,VOLKSWAGEN ATLAS V6 SE
7.2,2018,VOLKSWAGEN,VOLKSWAGEN ATLAS SE 2.0T
7.8,2019,VOLKSWAGEN,VOLKSWAGEN ATLAS V6 SEL BASECAMP 4MOTION
7.9,2019,VOLKSWAGEN,VOLKSWAGEN ATLAS V6 SEL 4MOTION
7.9,2020,VOLKSWAGEN,VOLKSWAGEN ATLAS CROSS SPORT SEL V6 R-LINE 4MOTION
7.5,2020,VOLKSWAGEN,VOLKSWAGEN ATLAS CROSS SPORT SE V6 R-LINE
8.1,2020,VOLKSWAGEN,VOLKSWAGEN ATLAS CROSS SPORT S 4MOTION
35.0,1954,VOLKSWAGEN,FISHER VOLKSWAGEN BEETLE 1200
22.0,1955,VOLKSWAGEN,MAG SUPERCHARGED VOLKSWAGEN BEETLE 1200
18.0,1957,VOLKSWAGEN,JUDSON SUPERCHARGED VOLKSWAGEN BEETLE 1200
19.3,1962,VOLKSWAGEN,VOLKSWAGEN BEETLE EMPI INCH PINCHER
27.5,1962,VOLKSWAGEN,VOLKSWAGEN BEETLE 1200 DE LUXE
29.5,1964,VOLKSWAGEN,VOLKSWAGEN BEETLE 1200
17.4,1967,VOLKSWAGEN,VOLKSWAGEN BEETLE 1500
18.2,1971,VOLKSWAGEN,VOLKSWAGEN SUPER BEETLE
23.7,1973,VOLKSWAGEN,VOLKSWAGEN SUPER BEETLE CONVERTIBLE
9.7,1998,VOLKSWAGEN,VOLKSWAGEN BEETLE (MANUAL)
9.7,1999,VOLKSWAGEN,VOLKSWAGEN BEETLE GLS 2.0L (MANUAL)
11.1,1999,VOLKSWAGEN,VOLKSWAGEN BEETLE GLS TDI
7.2,1999,VOLKSWAGEN,VOLKSWAGEN BEETLE GLS 1.8T (MANUAL)
12.2,1999,VOLKSWAGEN,VOLKSWAGEN BEETLE GL
7.0,1999,VOLKSWAGEN,EIP TUNING SUPERCHARGED VW BEETLE
7.2,2000,VOLKSWAGEN,VOLKSWAGEN BEETLE GLS 1.8T (MANUAL)
4.2,2001,VOLKSWAGEN,HPA MOTORSPORTS VW BEETLE GT6
6.8,2002,VOLKSWAGEN,VOLKSWAGEN BEETLE TURBO S
11.0,2003,VOLKSWAGEN,VOLKSWAGEN BEETLE GLS CONVERTIBLE (MANUAL)
6.3,2003,VOLKSWAGEN,VOLKSWAGEN BEETLE RSI
12.4,2003,VOLKSWAGEN,VOLKSWAGEN BEETLE GLS CONVERTIBLE
