0_60_time,year,manufacturer,model
9.6,1997,ACURA,ACURA 2.2 CL PREMIUM
8.8,1997,ACURA,ACURA 2.2 CL PREMIUM (MANUAL)
7.3,1999,ACURA,ACURA 3.0 CL
6.6,2001,ACURA,ACURA 3.2 CL TYPE-S
6.6,2002,ACURA,ACURA 3.2 CL TYPE-S
5.7,2003,ACURA,COMPTECH ACURA 3.2 CL TYPE-S
5.9,2003,ACURA,ACURA 3.2 CL TYPE-S (MANUAL)
6.4,2013,ACURA,ACURA ILX 2.4 PREMIUM
10.8,2013,ACURA,ACURA ILX HYBRID TECH
8.3,2014,ACURA,ACURA ILX 2.0
8.3,2015,ACURA,ACURA ILX 2.0 TECH
6.7,2016,ACURA,ACURA ILX A-SPEC TECH PLUS
8.8,1986,ACURA,ACURA INTEGRA LS
9.3,1987,ACURA,ACURA INTEGRA RS
9.3,1989,ACURA,ACURA INTEGRA LS
9.1,1990,ACURA,ACURA INTEGRA GS
8.8,1990,ACURA,ACURA INTEGRA GS SEDAN
7.6,1992,ACURA,ACURA INTEGRA GS-R
6.9,1993,ACURA,ACURA INTEGRA GS-R
7.1,1994,ACURA,ACURA INTEGRA GS-R
7.5,1994,ACURA,ACURA INTEGRA LS SEDAN
7.0,1995,ACURA,ACURA INTEGRA GS-R
7.0,1996,ACURA,ACURA INTEGRA GS-R
7.8,1996,ACURA,ACURA INTEGRA SE SEDAN
6.4,1997,ACURA,ACURA INTEGRA TYPE-R
5.7,1998,ACURA,JACKSON RACING ACURA INTEGRA GS-R (SUPERCHARGED)
7.2,1998,ACURA,ACURA INTEGRA GS-R
5.8,2000,ACURA,KING MOTORSPORTS ACURA INTEGRA TYPE-R
7.2,2000,ACURA,ACURA INTEGRA GS-R
6.1,2000,ACURA,ACURA INTEGRA TYPE-R
6.1,2001,ACURA,ACURA INTEGRA TYPE-R
9.6,1986,ACURA,ACURA LEGEND
8.0,1986,ACURA,ACURA LEGEND COUPE
8.1,1986,ACURA,ACURA LEGEND (MANUAL)
7.6,1987,ACURA,ACURA LEGEND L COUPE
8.0,1988,ACURA,ACURA LEGEND LS
8.9,1990,ACURA,ACURA LEGEND COUPE
7.2,1991,ACURA,ACURA LEGEND LS COUPE (MANUAL)
7.8,1991,ACURA,ACURA LEGEND LS COUPE
7.8,1991,ACURA,ACURA LEGEND LS
7.4,1992,ACURA,ACURA LEGEND COUPE
7.8,1992,ACURA,ACURA LEGEND LS
6.9,1993,ACURA,ACURA LEGEND LS COUPE (MANUAL)
7.4,1993,ACURA,ACURA LEGEND LS COUPE
8.0,1994,ACURA,ACURA LEGEND GS (MANUAL)
8.2,1995,ACURA,ACURA LEGEND GS
7.8,2001,ACURA,ACURA MDX TOURING VTM-4 AWD
7.8,2003,ACURA,ACURA MDX TOURING ENTERTAINMENT VTM-4 AWD
7.1,2007,ACURA,ACURA MDX SPORT ENTERTAINMENT SH-AWD
7.1,2008,ACURA,ACURA MDX SH-AWD
6.7,2010,ACURA,ACURA MDX ADVANCE ENTERTAINMENT SH-AWD
6.7,2011,ACURA,ACURA MDX ADVANCE ENTERTAINMENT SH-AWD
6.4,2014,ACURA,ACURA MDX ADVANCE ENTERTAINMENT SH-AWD
6.1,2016,ACURA,ACURA MDX ADVANCE ENTERTAINMENT SH-AWD
6.1,2017,ACURA,ACURA MDX ADVANCE SH-AWD
5.8,2018,ACURA,ACURA MDX SPORT TECH HYBRID
6.1,2019,ACURA,ACURA MDX A-SPEC SH-AWD
6.0,2022,ACURA,ACURA MDX A-SPEC SH-AWD
5.4,1991,ACURA,ACURA NSX
5.5,1992,ACURA,ACURA NSX
5.5,1993,ACURA,ACURA NSX
5.2,1994,ACURA,ACURA NSX
5.2,1995,ACURA,ACURA NSX T
5.2,1996,ACURA,ACURA NSX T
4.7,1997,ACURA,ACURA NSX T
4.8,1998,ACURA,ACURA NSX
4.6,1999,ACURA,ACURA NSX ALEX ZANARDI EDITION
4.7,2001,ACURA,ACURA NSX
5.0,2002,ACURA,ACURA NSX
4.7,2004,ACURA,ACURA NSX
3.1,2017,ACURA,ACURA NSX
3.0,2019,ACURA,ACURA NSX
3.0,2020,ACURA,ACURA NSX
6.9,2007,ACURA,ACURA RDX
6.5,2007,ACURA,ACURA RDX TECHNOLOGY SH-AWD
6.4,2008,ACURA,ACURA RDX
6.4,2010,ACURA,ACURA RDX TECHNOLOGY
6.2,2013,ACURA,ACURA RDX TECHNOLOGY SH-AWD
6.1,2013,ACURA,ACURA RDX
6.2,2014,ACURA,ACURA RDX TECHNOLOGY SH-AWD
