0_60_time,year,manufacturer,model
4.3,2011,BMW,BMW 1-SERIES M COUPE
8.9,2012,BMW,BMW 1-SERIES ACTIVE E COUPE
10.4,2005,BMW,BMW 116I 5-DOOR
10.1,2015,BMW,BMW 116I EFFICIENT DYNAMICS PLUS 5-DOOR
8.9,2005,BMW,BMW 118I SE
8.6,2012,BMW,BMW 118D
4.6,2020,BMW,BMW 118I XDRIVE
7.5,2006,BMW,BMW 120D
7.4,2007,BMW,BMW 120I COUPE
8.1,2008,BMW,BMW 120I SE CONVERTIBLE
7.0,2011,BMW,BMW 120D
7.0,2013,BMW,BMW 120D XDRIVE 5-DOOR
6.8,2009,BMW,BMW 123D M-SPORT COUPE
6.5,2008,BMW,BMW 125I CONVERTIBLE
6.3,2013,BMW,BMW 125D M-SPORT 5-DOOR
6.3,2013,BMW,BMW 125I M-SPORT 5-DOOR
6.1,2015,BMW,BMW 125D M-SPORT
6.1,2008,BMW,BMW 128I CONVERTIBLE
5.7,2008,BMW,BMW 128I COUPE
4.7,2008,BMW,BMW 135I
4.7,2008,BMW,BMW 135I (AUTO)
4.7,2009,BMW,BMW 135I
4.9,2009,BMW,BMW 135I CONVERTIBLE
4.5,2010,BMW,DINAN BMW 135 STAGE 3
4.5,2013,BMW,BMW 135IS
4.4,2016,BMW,AC SCHNITZER BMW 150D
11.5,1971,BMW,BMW 1600
11.3,1968,BMW,BMW 2002
10.3,1970,BMW,BMW 2002 (AUTO)
9.6,1970,BMW,BMW 2002
9.0,1972,BMW,BMW 2002 TII
9.0,1973,BMW,BMW 2002 TII
7.4,1974,BMW,BMW 2002 TURBO
10.2,2014,BMW,BMW 216D ACTIVE TOURER
8.6,2014,BMW,BMW 218D ACTIVE TOURER
7.1,2015,BMW,BMW 220D ACTIVE TOURER XDRIVE SPORT
7.5,2015,BMW,BMW 220D XDRIVE GRAN TOURER M-SPORT
7.4,2016,BMW,BMW 220I ACTIVE TOURER
6.5,2015,BMW,BMW 225I ACTIVE TOURER M-SPORT
6.5,2016,BMW,BMW 225XE ACTIVE TOURER
4.9,2014,BMW,BMW 228I COUPE
5.0,2015,BMW,BMW 228I XDRIVE COUPE
5.5,2015,BMW,BMW 228I CONVERTIBLE
5.5,2016,BMW,BMW 228I COUPE
5.1,2020,BMW,BMW 228I XDRIVE M-SPORT GRAN COUPE
5.8,2017,BMW,BMW 230I COUPE (MANUAL)
5.3,2017,BMW,BMW 230I XDRIVE COUPE
5.6,2018,BMW,BMW 230I COUPE
9.3,1970,BMW,BMW 2800CS
10.0,1973,BMW,BMW 3.0CS
10.5,2009,BMW,BMW 316D ES
11.0,1983,BMW,BMW 318I COUPE
9.7,1991,BMW,BMW 318IS COUPE
9.6,1992,BMW,BMW 318I
10.0,1994,BMW,BMW 318IS COUPE
