0_60_time,year,manufacturer,model
11.7,1985,DODGE,DODGE 600ES
9.9,1995,DODGE,DODGE AVENGER HIGHLINE
9.2,1995,DODGE,DODGE AVENGER ES
7.2,2008,DODGE,DODGE AVENGER R/T AWD
8.9,2009,DODGE,DODGE AVENGER SE
8.9,2009,DODGE,DODGE AVENGER SXT
6.2,2011,DODGE,DODGE AVENGER LUX
6.1,2012,DODGE,DODGE AVENGER R/T
9.5,2007,DODGE,DODGE CALIBER R/T AWD
11.8,2007,DODGE,DODGE CALIBER 1.8 S
5.7,2008,DODGE,DODGE CALIBER SRT4
11.3,1991,DODGE,DODGE CARAVAN ES
10.8,1991,DODGE,DODGE CARAVAN SE
9.8,1996,DODGE,DODGE CARAVAN LE
11.2,1997,DODGE,DODGE CARAVAN SE
11.5,1998,DODGE,DODGE CARAVAN ES
10.2,2002,DODGE,DODGE CARAVAN SE AWD
10.1,2004,DODGE,DODGE CARAVAN SXT
5.8,1970,DODGE,DODGE CHALLENGER R/T SE 440 6 PACK
7.1,1970,DODGE,DODGE CHALLENGER T/A
9.5,1974,DODGE,DODGE CHALLENGER
12.1,1982,DODGE,DODGE CHALLENGER
4.7,2008,DODGE,DODGE CHALLENGER SRT8
3.9,2008,DODGE,HENNESSEY DODGE CHALLENGER HPE600
4.6,2009,DODGE,DODGE CHALLENGER SRT8 (MANUAL)
4.1,2009,DODGE,SPEEDFACTORY DODGE CHALLENGER SRT8
7.5,2009,DODGE,DODGE CHALLENGER SE
5.1,2009,DODGE,DODGE CHALLENGER R/T (MANUAL)
4.4,2010,DODGE,SMS SUPERCARS DODGE CHALLENGER 570
7.5,2010,DODGE,DODGE CHALLENGER SE
5.0,2011,DODGE,DODGE CHALLENGER R/T (MANUAL)
4.5,2011,DODGE,DODGE CHALLENGER SRT8 392 (MANUAL)
6.4,2011,DODGE,DODGE CHALLENGER SE
6.3,2012,DODGE,DODGE CHALLENGER SXT
4.7,2015,DODGE,DODGE CHALLENGER SRT 392
6.1,2015,DODGE,DODGE CHALLENGER SXT
4.3,2015,DODGE,DODGE CHALLENGER R/T SCAT PACK
3.9,2015,DODGE,DODGE CHALLENGER SRT HELLCAT (MANUAL)
3.7,2015,DODGE,DODGE CHALLENGER SRT HELLCAT
5.1,2015,DODGE,DODGE CHALLENGER R/T
4.2,2017,DODGE,DODGE CHALLENGER T/A 392
6.3,2017,DODGE,DODGE CHALLENGER GT AWD
3.6,2017,DODGE,DODGE CHALLENGER SRT HELLCAT
2.3,2018,DODGE,DODGE CHALLENGER SRT DEMON
3.4,2018,DODGE,DODGE CHALLENGER SRT HELLCAT WIDEBODY
3.7,2019,DODGE,DODGE CHALLENGER SRT HELLCAT REDEYE
5.0,2021,DODGE,DODGE CHALLENGER T/A
4.8,1968,DODGE,DODGE CHARGER R/T HEMI
6.5,1968,DODGE,DODGE CHARGER R/T 440
5.5,1969,DODGE,DODGE CHARGER DAYTONA HEMI
6.5,1971,DODGE,DODGE CHARGER SE 440
7.3,1973,DODGE,DODGE CHARGER SE 400
11.7,1977,DODGE,DODGE CHARGER 318
10.0,1983,DODGE,DODGE CHARGER SHELBY
7.9,1985,DODGE,DODGE CHARGER SHELBY
5.6,2006,DODGE,DODGE CHARGER R/T
5.0,2006,DODGE,DODGE CHARGER SRT8
5.9,2007,DODGE,DODGE CHARGER POLICE CAR
4.8,2008,DODGE,DODGE CHARGER SRT8
5.6,2008,DODGE,DODGE CHARGER R/T
