0_60_time,year,manufacturer,model
9.8,1992,FORD,FORD AEROSTAR EDDIE BAUER AWD
9.9,2013,FORD,FORD B-MAX 1.6
10.8,2013,FORD,FORD B-MAX 1.0 ECOBOOST TITANIUM
13.3,2013,FORD,FORD B-MAX 1.4 DURATEC STUDIO
21.2,1966,FORD,FORD BRONCO (PROTOTYPE)
13.7,1978,FORD,FORD BRONCO RANGER XLT
14.1,1980,FORD,FORD BRONCO RANGER XLT
10.0,1988,FORD,FORD BRONCO XLT
7.7,1994,FORD,FORD BRONCO WHITE LIGHTNING (PROTOTYPE)
11.3,1996,FORD,FORD BRONCO XL
6.3,2021,FORD,FORD BRONCO FIRST EDITION W/ SASQUATCH PACKAGE
8.0,2021,FORD,FORD BRONCO FIRST EDITION
8.3,2021,FORD,FORD BRONCO FIRST EDITION (4-DOOR)
7.7,2021,FORD,FORD BRONCO BADLANDS
6.5,2021,FORD,FORD BRONCO OUTER BANKS (4-DOOR)
7.0,2021,FORD,FORD BRONCO BLACK DIAMOND
8.6,2021,FORD,FORD BRONCO SPORT OUTER BANKS
6.2,2021,FORD,FORD BRONCO SPORT BADLANDS
10.8,2006,FORD,FORD C-MAX STYLE
9.3,2007,FORD,FORD C-MAX TITANIUM
12.0,2007,FORD,FORD C-MAX H2 ICE (HYDROGEN CAR)
10.8,2009,FORD,FORD C-MAX ZETEC
10.2,2011,FORD,FORD C-MAX ZETEC 140 POWERSHIFT
10.9,2011,FORD,FORD C-MAX 1.6 TDCI
9.7,2012,FORD,FORD C-MAX
8.4,2013,FORD,FORD C-MAX SEL
8.2,2013,FORD,FORD C-MAX ENERGI PLUG-IN HYBRID
16.1,2013,FORD,FORD C-MAX ENERGI PLUG-IN HYBRID (EV MODE)
7.9,2017,FORD,FORD C-MAX
7.6,2017,FORD,FORD C-MAX ENERGI PLUG-IN HYBRID
11.4,1972,FORD,FORD CAPRI 2000
7.9,1987,FORD,FORD CAPRI 280 BROOKLANDS
10.7,1991,FORD,FORD CHATEAU CLUB WAGON
8.9,1995,FORD,FORD CONTOUR SE
7.1,1998,FORD,FORD CONTOUR SVT
6.7,1999,FORD,FORD CONTOUR SVT
9.8,1991,FORD,FORD CROWN VICTORIA LX
9.4,1992,FORD,FORD CROWN VICTORIA LX
8.7,1997,FORD,FORD CROWN VICTORIA POLICE CAR
8.4,1999,FORD,FORD CROWN VICTORIA POLICE CAR
6.0,1999,FORD,KENNY BROWN CROWN VICTORIA SUPER PANTHER
5.2,2002,FORD,KENNY BROWN CROWN VICTORIA PANTHER P2
7.9,2005,FORD,FORD CROWN VICTORIA LX
7.7,2007,FORD,FORD CROWN VICTORIA POLICE CAR
9.7,1997,FORD,FORD E350 ECONOLINE VAN
10.6,2013,FORD,FORD ECOSPORT 2.0L
11.5,2013,FORD,FORD ECOSPORT 1.6L
13.7,2014,FORD,FORD ECOSPORT 1.5 TDCI TITANIUM
11.4,2016,FORD,FORD ECOSPORT 1.0L
10.5,2018,FORD,FORD ECOSPORT 1.0T TITANIUM
9.9,2018,FORD,FORD ECOSPORT SES AWD
11.2,2018,FORD,FORD ECOSPORT 1.0T SE
25.0,1994,FORD,FORD ECOSTAR ELECTRIC CARGO VAN (PROTOTYPE)
7.5,2007,FORD,FORD EDGE SEL AWD
7.5,2008,FORD,FORD EDGE LIMITED AWD
7.1,2011,FORD,FORD EDGE 3.5L
7.2,2011,FORD,FORD EDGE SPORT AWD
7.3,2011,FORD,FORD EDGE SPORT
7.3,2012,FORD,FORD EDGE SE ECOBOOST
7.7,2015,FORD,FORD EDGE TITANIUM AWD 3.5L
7.8,2015,FORD,FORD EDGE TITANIUM  2.0T ECOBOOST AWD
5.6,2015,FORD,FORD EDGE SPORT AWD
9.1,2016,FORD,FORD EDGE 2.0 DURATORQ TDCI 210
9.6,2016,FORD,FORD EDGE 2.0 SPORT TDCI 180
7.6,2017,FORD,FORD EDGE TITANIUM AWD 3.5L
5.9,2019,FORD,FORD EDGE ST
6.8,2019,FORD,FORD EDGE TITANIUM AWD
7.6,2019,FORD,FORD EDGE TITANIUM
6.6,2021,FORD,FORD EDGE ST-LINE
8.5,2002,FORD,FORD ESCAPE XLT V6
11.0,2002,FORD,FORD ESCAPE XLS SPORT
9.3,2005,FORD,FORD ESCAPE HYBRID
8.5,2006,FORD,FORD ESCAPE XLT V6
8.9,2008,FORD,FORD ESCAPE XLT V6 AWD
8.5,2013,FORD,FORD ESCAPE 1.6T ECOBOOST
