0_60_time,year,manufacturer,model
8.0,2007,GMC,GMC ACADIA SLT AWD
6.2,2017,GMC,GMC ACADIA DENALI AWD
9.9,2004,GMC,GMC CANYON EXTENDED CAB (2.8L)
7.9,2004,GMC,GMC CANYON EXTENDED CAB (3.5L)
7.1,2015,GMC,GMC CANYON EXTENDED CAB SLT
7.3,2015,GMC,GMC CANYON CREW CAB SLE 4X4
9.2,2015,GMC,GMC CANYON EXTENDED CAB SLT (I-4)
9.2,2016,GMC,GMC CANYON CREW CAB SLT DURAMAX DIESEL 4X4
8.3,2004,GMC,GMC ENVOY SLT XUV
3.0,2022,GMC,GMC HUMMER EV EDITION 1
9.0,1996,GMC,GMC SAFARI SLT
9.0,1996,GMC,GMC SIERRA 1500 CLUB CAB 4X4
8.3,1999,GMC,GMC SIERRA 1500 SLT EXTENDED CAB
7.6,1999,GMC,GMC SIERRA 1500 Z71 REGULAR CAB 4X4
7.7,2001,GMC,GMC SIERRA 1500 C3 EXTENDED CAB 4X4
6.9,2002,GMC,GMC SIERRA 1500 DENALI EXTENDED CAB 4X4
6.4,2008,GMC,GMC SIERRA 1500 DENALI CREW CAB 4X4
9.1,2009,GMC,GMC SIERRA 1500 HYBRID CREW CAB 4X4
7.3,2014,GMC,GMC SIERRA 1500 SLE REGULAR CAB 4X4
5.7,2016,GMC,GMC SIERRA 1500 DENALI CREW CAB 4X4
6.6,2016,GMC,GMC SIERRA 1500 ALL TERRAIN X 4X4
8.2,1999,GMC,GMC SIERRA 2500 SLT
8.3,2011,GMC,GMC SIERRA 2500HD CREW CAB 4X4
7.2,2011,GMC,GMC SIERRA 2500HD CREW CAB 4X4 DURAMAX DIESEL
7.2,2012,GMC,GMC SIERRA 2500HD DENALI 4X4 DIESEL
7.5,2015,GMC,GMC SIERRA 2500HD DENALI CREW CAB 4X4
6.5,2017,GMC,GMC SIERRA 2500HD DENALI CREW CAB 4X4 DIESEL
9.8,1994,GMC,GMC SONOMA
9.5,1998,GMC,GMC SONOMA SLS
4.7,1994,GMC,LINGENFELTER GMC SUBURBAN
11.5,1995,GMC,GMC SUBURBAN
10.4,1996,GMC,GMC SUBURBAN K2500
4.6,1991,GMC,GMC SYCLONE
9.6,2010,GMC,GMC TERRAIN SLE
8.3,2011,GMC,GMC TERRAIN SLT
9.6,2012,GMC,GMC TERRAIN SLT-2
6.4,2016,GMC,GMC TERRAIN DENALI
5.4,1992,GMC,GMC TYPHOON
5.3,1993,GMC,GMC TYPHOON
5.3,1993,GMC,BRYSON COLE & CO GMC TYPHOON
10.1,1995,GMC,GMC YUKON SLT (2-DOOR)
9.1,1996,GMC,GMC YUKON SLT
9.2,1999,GMC,GMC YUKON DENALI
9.0,2000,GMC,GMC YUKON XL 1500
6.1,2006,GMC,GMC YUKON DENALI
5.6,2015,GMC,GMC YUKON DENALI XL
5.5,2015,GMC,GMC YUKON DENALI 4X4
4.5,2015,GMC,HENNESSEY GMC YUKON DENALI HPE650
5.8,2017,GMC,GMC YUKON DENALI XL
7.0,2022,GMC,GMC YUKON AT4
