0_60_time,year,manufacturer,model
11.6,1971,HONDA,HONDA 1300 COUPE 9 GTL
13.8,1976,HONDA,HONDA ACCORD CVCC 3-DOOR
12.0,1979,HONDA,HONDA ACCORD CVCC
13.1,1981,HONDA,HONDA ACCORD
12.9,1982,HONDA,HONDA ACCORD LX
9.7,1986,HONDA,HONDA ACCORD LXI
11.4,1989,HONDA,HONDA ACCORD LXI
10.0,1990,HONDA,HONDA ACCORD EX SEDAN
9.3,1991,HONDA,HONDA ACCORD EX WAGON
9.7,1992,HONDA,HONDA ACCORD EX SEDAN
10.0,1993,HONDA,HONDA ACCORD LX SEDAN
9.4,1994,HONDA,HONDA ACCORD EX SEDAN
7.9,1994,HONDA,HONDA ACCORD EX COUPE
8.6,1995,HONDA,HONDA ACCORD V6 SEDAN
8.4,1995,HONDA,HONDA ACCORD LX SEDAN
8.7,1996,HONDA,HONDA ACCORD LX V6 SEDAN
6.9,1996,HONDA,DC SPORTS HONDA ACCORD SIR COUPE
7.6,1997,HONDA,HONDA ACCORD EX V6 COUPE
5.8,1998,HONDA,RYTEK PROJEKTZ TUNING ACCORD W/NITROUS
7.8,1998,HONDA,HONDA ACCORD LX V6 SEDAN
7.1,1998,HONDA,HONDA ACCORD EX HKS TURBOCHARGED
8.1,1998,HONDA,RYTEK PROJEKTZ TUNING ACCORD
7.4,1999,HONDA,HONDA ACCORD LX V6 COUPE
8.0,1999,HONDA,HONDA ACCORD EX V6 SEDAN
8.2,2001,HONDA,HONDA ACCORD V6 LX SEDAN
7.9,2002,HONDA,HONDA ACCORD V6 SEDAN
7.4,2003,HONDA,HONDA ACCORD DX SEDAN
7.1,2003,HONDA,HONDA ACCORD EX V6 SEDAN
6.0,2004,HONDA,HONDA ACCORD EX V6 COUPE
6.8,2005,HONDA,HONDA ACCORD HYBRID
6.6,2005,HONDA,HONDA ACCORD EX V6 SEDAN
5.8,2006,HONDA,HONDA ACCORD EX V6 SEDAN
8.1,2007,HONDA,HONDA ACCORD SE SEDAN
8.8,2007,HONDA,HONDA ACCORD SPORT GT DIESEL
8.9,2007,HONDA,HONDA ACCORD I-CTDI SEDAN
9.3,2008,HONDA,HONDA ACCORD 2.2 I-DTEC SEDAN
9.5,2008,HONDA,HONDA ACCORD I-DTEC EX GT WAGON
6.5,2008,HONDA,HONDA ACCORD EX-L V6 SEDAN
5.7,2008,HONDA,HONDA ACCORD EX-L V6 COUPE
7.3,2008,HONDA,HONDA ACCORD LX SEDAN
9.2,2008,HONDA,HONDA ACCORD 2.0 ES GT
8.2,2008,HONDA,HONDA ACCORD EX SEDAN
8.9,2009,HONDA,HONDA ACCORD TYPE-S TOURER
7.7,2009,HONDA,HONDA ACCORD EX SEDAN (MANUAL)
8.7,2009,HONDA,HONDA ACCORD EX SEDAN
7.2,2010,HONDA,HONDA ACCORD CROSSTOUR
9.0,2011,HONDA,HONDA ACCORD SE SEDAN
8.5,2011,HONDA,HONDA ACCORD TYPE-S SEDAN
6.2,2011,HONDA,HONDA ACCORD EX-L V6 COUPE
6.6,2011,HONDA,HONDA ACCORD EX-L V6 SEDAN
6.2,2012,HONDA,HONDA ACCORD EX-L V6 COUPE
8.2,2012,HONDA,HONDA ACCORD EX-L SEDAN
7.5,2013,HONDA,HONDA ACCORD EX-L SEDAN
5.5,2013,HONDA,HONDA ACCORD EX-L V6 COUPE (MANUAL)
5.5,2013,HONDA,HONDA ACCORD EX-L V6 COUPE
7.5,2013,HONDA,HONDA ACCORD SPORT SEDAN (CVT)
6.7,2013,HONDA,HONDA ACCORD SPORT SEDAN (MANUAL)
5.6,2013,HONDA,HONDA ACCORD EX-L V6 SEDAN
7.7,2013,HONDA,HONDA ACCORD EX SEDAN
6.6,2013,HONDA,HONDA ACCORD EX COUPE
7.7,2014,HONDA,HONDA ACCORD PLUG-IN HYBRID
