0_60_time,year,manufacturer,model
11.2,1995,HYUNDAI,HYUNDAI ACCENT SEDAN
10.8,2000,HYUNDAI,HYUNDAI ACCENT GL SEDAN
10.0,2000,HYUNDAI,HYUNDAI ACCENT GSI HATCHBACK
11.6,2002,HYUNDAI,HYUNDAI ACCENT L SEDAN
10.0,2003,HYUNDAI,HYUNDAI ACCENT GT HATCHBACK
12.4,2006,HYUNDAI,HYUNDAI ACCENT GLS SEDAN
9.9,2007,HYUNDAI,HYUNDAI ACCENT GLS SEDAN
11.7,2007,HYUNDAI,HYUNDAI ACCENT ATLANTIC HATCHBACK
8.7,2009,HYUNDAI,HYUNDAI ACCENT GS HATCHBACK
7.9,2012,HYUNDAI,HYUNDAI ACCENT GLS SEDAN (MANUAL)
9.5,2012,HYUNDAI,HYUNDAI ACCENT SE HATCHBACK
7.9,2012,HYUNDAI,HYUNDAI ACCENT SE HATCHBACK (MANUAL)
9.9,2012,HYUNDAI,HYUNDAI ACCENT GLS SEDAN
9.0,2014,HYUNDAI,HYUNDAI ACCENT SE HATCHBACK
8.6,2016,HYUNDAI,HYUNDAI ACCENT SPORT HATCHBACK
9.1,2018,HYUNDAI,HYUNDAI ACCENT LIMITED SEDAN
7.5,2018,HYUNDAI,HYUNDAI ACCENT SE SEDAN
6.1,2006,HYUNDAI,HYUNDAI AZERA SE
6.3,2011,HYUNDAI,HYUNDAI AZERA LIMITED
6.3,2013,HYUNDAI,HYUNDAI AZERA
6.2,2016,HYUNDAI,HYUNDAI AZERA LIMITED
11.2,2020,HYUNDAI,HYUNDAI CRETA 1.5 CRDI DIESEL
10.4,1992,HYUNDAI,HYUNDAI ELANTRA GLS
8.3,2000,HYUNDAI,HYUNDAI ELANTRA GLS
8.4,2001,HYUNDAI,HYUNDAI ELANTRA GLS
7.9,2002,HYUNDAI,HYUNDAI ELANTRA GT
7.9,2007,HYUNDAI,HYUNDAI ELANTRA SE (MANUAL)
10.1,2007,HYUNDAI,HYUNDAI ELANTRA SE
8.1,2009,HYUNDAI,HYUNDAI ELANTRA TOURING
8.8,2011,HYUNDAI,HYUNDAI ELANTRA LIMITED
7.8,2012,HYUNDAI,HYUNDAI ELANTRA GLS
8.1,2013,HYUNDAI,HYUNDAI ELANTRA SE COUPE
9.5,2013,HYUNDAI,HYUNDAI ELANTRA GT
8.2,2013,HYUNDAI,HYUNDAI ELANTRA GT (MANUAL)
8.1,2014,HYUNDAI,HYUNDAI ELANTRA GT
9.5,2014,HYUNDAI,HYUNDAI ELANTRA LIMITED
8.0,2014,HYUNDAI,HYUNDAI ELANTRA SPORT
9.5,2016,HYUNDAI,HYUNDAI ELANTRA VALUE EDITION
8.2,2016,HYUNDAI,HYUNDAI ELANTRA SPORT
6.9,2017,HYUNDAI,HYUNDAI ELANTRA SPORT
8.6,2017,HYUNDAI,HYUNDAI ELANTRA LIMITED
7.9,2017,HYUNDAI,HYUNDAI ELANTRA ECO
8.0,2018,HYUNDAI,HYUNDAI ELANTRA GT
6.9,2018,HYUNDAI,HYUNDAI ELANTRA GT SPORT
6.9,2019,HYUNDAI,HYUNDAI ELANTRA SPORT
9.0,2019,HYUNDAI,HYUNDAI ELANTRA LIMITED
6.5,2019,HYUNDAI,HYUNDAI ELANTRA GT N-LINE (MANUAL)
8.4,2021,HYUNDAI,HYUNDAI ELANTRA LIMITED
5.2,2022,HYUNDAI,HYUNDAI ELANTRA N-LINE
8.7,2007,HYUNDAI,HYUNDAI ENTOURAGE LIMITED
6.1,2011,HYUNDAI,HYUNDAI EQUUS 4.6
5.9,2013,HYUNDAI,HYUNDAI EQUUS 5.0
12.8,1986,HYUNDAI,HYUNDAI EXCEL GLS
13.9,1987,HYUNDAI,HYUNDAI EXCEL GL HATCHBACK (5-DOOR)
12.4,1990,HYUNDAI,HYUNDAI EXCEL GLS
