0_60_time,year,manufacturer,model
10.1,2011,LEXUS,LEXUS CT 200H
10.4,2014,LEXUS,LEXUS CT 200H F-SPORT
9.1,1990,LEXUS,LEXUS ES 250
8.5,1992,LEXUS,LEXUS ES 300
8.6,1994,LEXUS,LEXUS ES 300
8.3,1995,LEXUS,LEXUS ES 300
7.9,1997,LEXUS,LEXUS ES 300
7.8,1999,LEXUS,LEXUS ES 300
7.8,2000,LEXUS,LEXUS ES 300
7.9,2002,LEXUS,LEXUS ES 300
7.5,2005,LEXUS,LEXUS ES 330
6.1,2008,LEXUS,LEXUS ES 350
6.3,2010,LEXUS,LEXUS ES 350
5.9,2013,LEXUS,LEXUS ES 350
7.6,2013,LEXUS,LEXUS ES 300H
5.8,2015,LEXUS,LEXUS ES 350
7.6,2017,LEXUS,LEXUS ES 300H
8.0,2019,LEXUS,LEXUS ES 300H ULTRA LUXURY
5.9,2019,LEXUS,LEXUS ES 350 F-SPORT
6.1,2019,LEXUS,LEXUS ES LUXURY
6.1,2019,LEXUS,LEXUS ES 350 ULTRA LUXURY
8.1,2021,LEXUS,LEXUS ES 250 F-SPORT
8.2,2021,LEXUS,LEXUS ES 250
7.3,2022,LEXUS,LEXUS ES 300H F-SPORT
9.1,1993,LEXUS,LEXUS GS 300
9.2,1995,LEXUS,LEXUS GS 300
7.6,1998,LEXUS,LEXUS GS 300
5.7,1998,LEXUS,LEXUS GS 400
7.5,1999,LEXUS,LEXUS GS 300
5.9,2002,LEXUS,LEXUS GS 430
7.1,2006,LEXUS,LEXUS GS 300 AWD
5.8,2006,LEXUS,LEXUS GS 430
5.5,2007,LEXUS,LEXUS GS 450H
5.3,2007,LEXUS,LEXUS GS 350 AWD
5.5,2008,LEXUS,LEXUS GS 460
5.6,2009,LEXUS,LEXUS GS 350
5.5,2010,LEXUS,LEXUS GS 350
5.3,2011,LEXUS,LEXUS GS 460
5.7,2012,LEXUS,LEXUS GS 450H F-SPORT
8.3,2012,LEXUS,LEXUS GS 250 F-SPORT
5.8,2013,LEXUS,LEXUS GS 450H
5.5,2013,LEXUS,LEXUS GS 350 F-SPORT
5.6,2013,LEXUS,LEXUS GS 350 AWD
4.4,2016,LEXUS,LEXUS GS F
5.8,2017,LEXUS,LEXUS GS 350 F-SPORT
6.6,2017,LEXUS,LEXUS GS 200T
7.8,2003,LEXUS,LEXUS GX 470
7.1,2007,LEXUS,LEXUS GX 470
6.9,2010,LEXUS,LEXUS GX 460
7.2,2017,LEXUS,LEXUS GX 460
7.3,2021,LEXUS,LEXUS GX 460
7.5,2022,LEXUS,LEXUS GX 460 BLACK LINE SPECIAL EDITION
8.2,2010,LEXUS,LEXUS HS 250H PREMIUM
7.4,2001,LEXUS,LEXUS IS 300
7.6,2002,LEXUS,LEXUS IS 300 SPORTCROSS
6.9,2002,LEXUS,LEXUS IS 300 (MANUAL)
7.3,2006,LEXUS,LEXUS IS 250 AWD
5.0,2006,LEXUS,LEXUS IS 350
7.1,2006,LEXUS,LEXUS IS 250
4.8,2007,LEXUS,LEXUS IS 350
7.4,2007,LEXUS,LEXUS IS 250
4.2,2008,LEXUS,LEXUS IS-F
8.3,2010,LEXUS,LEXUS IS 250 C
5.2,2010,LEXUS,LEXUS IS 350 C
4.3,2011,LEXUS,LEXUS IS-F
7.1,2011,LEXUS,LEXUS IS F-SPORT
9.9,2012,LEXUS,LEXUS IS200D F-SPORT (DIESEL)
8.0,2013,LEXUS,LEXUS IS 300H F-SPORT
7.2,2014,LEXUS,LEXUS IS 250
5.5,2014,LEXUS,LEXUS IS 350 F-SPORT
5.4,2014,LEXUS,LEXUS IS 350 AWD
7.1,2014,LEXUS,LEXUS IS 250 F-SPORT
7.8,2014,LEXUS,LEXUS IS 250 AWD
6.6,2016,LEXUS,LEXUS IS 200T F-SPORT
6.0,2017,LEXUS,LEXUS IS 350 F-SPORT
5.5,2020,LEXUS,LEXUS IS 350 F-SPORT AWD
5.7,2021,LEXUS,LEXUS IS 300 AWD
