0_60_time,year,manufacturer,model
8.4,1991,MITSUBISHI,MITSUBISHI 3000GT SL
5.2,1991,MITSUBISHI,MITSUBISHI 3000GT VR-4
5.2,1993,MITSUBISHI,MITSUBISHI 3000GT VR-4
4.9,1994,MITSUBISHI,MITSUBISHI 3000GT VR-4
5.3,1995,MITSUBISHI,MITSUBISHI 3000GT VR-4
5.6,1996,MITSUBISHI,MITSUBISHI 3000GT VR-4 SPYDER
4.7,1997,MITSUBISHI,MITSUBISHI 3000GT VR-4
8.7,2010,MITSUBISHI,MITSUBISHI ASX RVR
9.6,2011,MITSUBISHI,MITSUBISHI ASX 3 1.8 DID
10.2,2013,MITSUBISHI,MITSUBISHI ASX 3 1.8 DIESEL 4WD
11.8,2019,MITSUBISHI,MITSUBISHI ASX 2.0 4WD
12.8,2005,MITSUBISHI,MITSUBISHI COLT 1.1
7.8,2006,MITSUBISHI,MITSUBISHI COLT 1.5 CZT
10.6,2009,MITSUBISHI,MITSUBISHI COLT 1.3
7.3,2009,MITSUBISHI,MITSUBISHI COLT 1.3 RALLIART 5-DOOR
10.6,2010,MITSUBISHI,MITSUBISHI COLT 1.3 CZ2 CLEARTEC
13.0,1983,MITSUBISHI,MITSUBISHI CORDIA
9.4,1984,MITSUBISHI,MITSUBISHI CORDIA TURBO
8.4,1987,MITSUBISHI,MITSUBISHI CORDIA TURBO
8.9,1991,MITSUBISHI,MITSUBISHI DIAMANTE LS
9.0,1992,MITSUBISHI,MITSUBISHI DIAMANTE LS
10.0,1993,MITSUBISHI,MITSUBISHI DIAMANTE WAGON
7.5,1997,MITSUBISHI,MITSUBISHI DIAMANTE SPECIAL SEDAN CONCEPT (SSC)
8.2,1997,MITSUBISHI,MITSUBISHI DIAMANTE LS
8.2,2000,MITSUBISHI,MITSUBISHI DIAMANTE LS
7.9,2003,MITSUBISHI,MITSUBISHI DIAMANTE VR-X
7.1,1990,MITSUBISHI,MITSUBISHI ECLIPSE GS
7.3,1990,MITSUBISHI,MITSUBISHI ECLIPSE GS TURBO
6.8,1990,MITSUBISHI,MITSUBISHI ECLIPSE GSX
6.6,1990,MITSUBISHI,MITSUBISHI ECLIPSE GS TURBO (MANUAL)
6.6,1992,MITSUBISHI,MITSUBISHI ECLIPSE GS TURBO
6.9,1992,MITSUBISHI,MITSUBISHI ECLIPSE GSX
6.4,1993,MITSUBISHI,MITSUBISHI ECLIPSE GSX
9.0,1995,MITSUBISHI,MITSUBISHI ECLIPSE GS
7.3,1995,MITSUBISHI,MITSUBISHI ECLIPSE GS-T
6.5,1995,MITSUBISHI,MITSUBISHI ECLIPSE GS-T (MANUAL)
6.3,1995,MITSUBISHI,MITSUBISHI ECLIPSE GSX
6.9,1996,MITSUBISHI,MITSUBISHI ECLIPSE SPYDER GS-T
5.7,1996,MITSUBISHI,SPEEDTEK MITSUBISHI ECLIPSE GSX
6.8,2000,MITSUBISHI,MITSUBISHI ECLIPSE GT
7.6,2000,MITSUBISHI,MITSUBISHI ECLIPSE
6.8,2001,MITSUBISHI,MITSUBISHI ECLIPSE SPYDER GT (MANUAL)
8.2,2001,MITSUBISHI,MITSUBISHI ECLIPSE SPYDER GT
8.0,2003,MITSUBISHI,MITSUBISHI ECLIPSE GTS
6.7,2003,MITSUBISHI,MITSUBISHI ECLIPSE GTS (MANUAL)
8.0,2006,MITSUBISHI,MITSUBISHI ECLIPSE GS
6.0,2006,MITSUBISHI,MITSUBISHI ECLIPSE GT
6.3,2007,MITSUBISHI,MITSUBISHI ECLIPSE SPYDER GT
8.1,2007,MITSUBISHI,MITSUBISHI ECLIPSE GS SPYDER
5.8,2008,MITSUBISHI,MITSUBISHI ECLIPSE GT
5.8,2010,MITSUBISHI,MITSUBISHI ECLIPSE GT
8.6,2018,MITSUBISHI,MITSUBISHI ECLIPSE CROSS SE S-AWC
8.4,2022,MITSUBISHI,MITSUBISHI ECLIPSE CROSS SEL S-AWC
7.6,2004,MITSUBISHI,MITSUBISHI ENDEAVOR LIMITED
7.5,2004,MITSUBISHI,MITSUBISHI ENDEAVOR LS
11.7,1992,MITSUBISHI,MITSUBISHI EXPO LRV
10.1,1992,MITSUBISHI,MITSUBISHI EXPO LRV SPORT
11.2,1992,MITSUBISHI,MITSUBISHI EXPO SP
14.4,1985,MITSUBISHI,MITSUBISHI GALANT
9.6,1989,MITSUBISHI,MITSUBISHI GALANT GS
9.4,1990,MITSUBISHI,MITSUBISHI GALANT GSX
7.1,1991,MITSUBISHI,MITSUBISHI GALANT VR-4
9.3,1993,MITSUBISHI,MITSUBISHI GALANT LS
7.9,1994,MITSUBISHI,MITSUBISHI GALANT GS
8.8,1999,MITSUBISHI,MITSUBISHI GALANT GTZ
9.1,2004,MITSUBISHI,MITSUBISHI GALANT ES
6.9,2004,MITSUBISHI,MITSUBISHI GALANT GTS
6.1,2005,MITSUBISHI,MITSUBISHI GALANT RALLIART (CONCEPT)
6.1,2007,MITSUBISHI,MITSUBISHI GALANT RALLIART
8.9,2008,MITSUBISHI,MITSUBISHI GALANT SPORT
14.2,2009,MITSUBISHI,MITSUBISHI I AWD
13.5,2009,MITSUBISHI,MITSUBISHI I-MIEV
13.2,2012,MITSUBISHI,MITSUBISHI I-MIEV SE
12.6,2010,MITSUBISHI,MITSUBISHI L200 BARBARIAN DI-D DIESEL 4X4
13.9,2012,MITSUBISHI,MITSUBISHI L200 4WORK
10.1,2015,MITSUBISHI,MITSUBISHI L200 DI-D DIESEL WARRIOR
8.9,2002,MITSUBISHI,MITSUBISHI LANCER OZ RACING RALLY EDITION
7.2,2004,MITSUBISHI,MITSUBISHI LANCER RALLIART
7.8,2004,MITSUBISHI,MITSUBISHI LANCER SPORTBACK RALLIART
9.1,2008,MITSUBISHI,MITSUBISHI LANCER GTS (CVT)
7.8,2008,MITSUBISHI,MITSUBISHI LANCER GTS
9.4,2008,MITSUBISHI,MITSUBISHI LANCER GS4 2.0 DIESEL
11.4,2008,MITSUBISHI,MITSUBISHI LANCER SPORTBACK 1.5 GS1
7.2,2009,MITSUBISHI,MITSUBISHI LANCER GTS
5.3,2009,MITSUBISHI,MITSUBISHI LANCER RALLIART
5.3,2010,MITSUBISHI,MITSUBISHI LANCER RALLIART
7.6,2010,MITSUBISHI,MITSUBISHI LANCER SPORTBACK GTS
7.2,2010,MITSUBISHI,MITSUBISHI LANCER GTS
11.2,2010,MITSUBISHI,MITSUBISHI LANCER 1.5 SE
5.5,2010,MITSUBISHI,MITSUBISHI LANCER SPORTBACK RALLIART
