0_60_time,year,manufacturer,model
13.9,1950,PORSCHE,PORSCHE 356
14.3,1956,PORSCHE,PORSCHE 356 A
11.4,1956,PORSCHE,PORSCHE 356 A CARRERA
13.9,1958,PORSCHE,PORSCHE 356 A
10.8,1959,PORSCHE,PORSCHE 356 A GS CARRERA DE LUXE
14.0,1959,PORSCHE,PORSCHE 356 A CONVERTIBLE D
12.5,1960,PORSCHE,PORSCHE 356 B SUPER 90 ROADSTER
14.4,1961,PORSCHE,PORSCHE 356 B
9.2,1962,PORSCHE,PORSCHE 356 CARRERA 2 GS
12.8,1963,PORSCHE,PORSCHE 356 B SUPER COUPE
13.5,1964,PORSCHE,PORSCHE 356 C
7.0,1955,PORSCHE,PORSCHE 550 SPYDER
5.8,1964,PORSCHE,PORSCHE 904 CARRERA GTS
8.8,1964,PORSCHE,PORSCHE 911
8.0,1965,PORSCHE,PORSCHE 911
7.3,1967,PORSCHE,PORSCHE 911 S
9.3,1968,PORSCHE,PORSCHE 911 SPORTOMATIC
7.0,1969,PORSCHE,PORSCHE 911 E
7.8,1969,PORSCHE,PORSCHE 911 T TARGA
6.5,1969,PORSCHE,PORSCHE 911 S
7.1,1970,PORSCHE,PORSCHE 911
5.8,1972,PORSCHE,PORSCHE 911 E TARGA
6.9,1972,PORSCHE,PORSCHE 911 T
6.0,1972,PORSCHE,PORSCHE 911 S
5.6,1973,PORSCHE,PORSCHE 911 CARRERA RSR 2.8
5.6,1973,PORSCHE,PORSCHE 911 CARRERA RS 2.7 TOURING
7.0,1974,PORSCHE,PORSCHE 911
5.9,1974,PORSCHE,PORSCHE 911 S TARGA
5.8,1974,PORSCHE,PORSCHE 911 S CARRERA
7.4,1974,PORSCHE,PORSCHE 911 CARRERA
5.2,1974,PORSCHE,PORSCHE 911 CARRERA RS 3.0
5.5,1976,PORSCHE,PORSCHE 911/930 TURBO CARRERA
4.9,1978,PORSCHE,PORSCHE 911/930 TURBO
5.5,1978,PORSCHE,PORSCHE 911 SC TARGA
6.3,1982,PORSCHE,PORSCHE 911 SC
6.9,1983,PORSCHE,PORSCHE 911 CABRIOLET
6.7,1983,PORSCHE,PORSCHE 911 SC CABRIOLET
5.3,1984,PORSCHE,PORSCHE 911 CARRERA
4.9,1986,PORSCHE,PORSCHE 911 TURBO CABRIOLET
5.6,1986,PORSCHE,PORSCHE 911 CABRIOLET
4.9,1986,PORSCHE,PORSCHE 911 TURBO
3.7,1987,PORSCHE,RUF PORSCHE 911 CTR YELLOWBIRD
4.0,1987,PORSCHE,KOENIG SPECIALS PORSCHE 911 RS FLAT-NOSE TURBO
5.6,1988,PORSCHE,PORSCHE 911 CARRERA CLUB SPORT
5.5,1989,PORSCHE,PORSCHE 911 CABRIOLET
4.8,1989,PORSCHE,PORSCHE 911 CARRERA 4
5.9,1989,PORSCHE,PORSCHE 911 SPEEDSTER
4.8,1989,PORSCHE,PORSCHE 911 TURBO
4.8,1990,PORSCHE,PORSCHE 911 CARRERA 2 (MANUAL)
4.5,1990,PORSCHE,PORSCHE 911 TURBO
3.3,1990,PORSCHE,SINGER VEHICLE DESIGN PORSCHE 911
5.3,1990,PORSCHE,PORSCHE 911 CARRERA 4 CABRIOLET
6.1,1991,PORSCHE,PORSCHE 911 CARRERA 2
