0_60_time,year,manufacturer,model
7.0,2011,RAM,MOPAR RAM RUNNER QUAD CAB 4X4
5.2,2012,RAM,RAM 392 QUICK SILVER (CONCEPT)
7.0,2013,RAM,RAM 1500 LARAMIE CREW CAB 4X4
7.1,2013,RAM,RAM 1500 LARAMIE LONGHORN CREW CAB 4X4
7.4,2013,RAM,RAM 1500 SLT QUAD CAB
7.9,2013,RAM,RAM 1500 SLT QUAD CAB 4X4
8.7,2014,RAM,RAM 1500 CREW CAB ECODIESEL 4X4
6.9,2014,RAM,RAM 1500 MEGA CAB 4X4
7.4,2015,RAM,RAM 1500 LIMITED CREW CAB 4X4
6.7,2015,RAM,RAM REBEL 1500 HEMI CREW CAB 4X4
5.4,2015,RAM,RAM 1500 R/T HEMI REGULAR CAB
7.5,2016,RAM,RAM 1500 CREW CAB POLICE TRUCK
8.7,2016,RAM,RAM 1500 CREW CAB ECODIESEL 4X4
6.7,2018,RAM,RAM REBEL 1500 HEMI CREW CAB 4X4
6.1,2019,RAM,RAM 1500 LARAMIE CREW CAB 4X4
6.4,2019,RAM,RAM 1500 LARAMIE SPORT CREW CAB 4X4
6.2,2019,RAM,RAM 1500 LIMITED CREW CAB 4X4 (ETORQUE)
6.5,2019,RAM,RAM 1500 LIMITED CREW CAB 4X4
6.3,2019,RAM,RAM 1500 LONG HORN CREW CAB 4X4
6.4,2019,RAM,RAM 1500 REBEL CREW CAB 4X4
6.4,2019,RAM,RAM 1500 REBEL QUAD CAB 4X4
7.5,2019,RAM,RAM 1500 TRADESMAN CREW CAB 4X4
5.9,2019,RAM,RAM 1500 BIG HORN QUAD CAB (ETORQUE)
5.9,2019,RAM,RAM 1500 BIG HORN QUAD CAB
8.5,2019,RAM,RAM 1500 BIG HORN CREW CAB 4X4
7.9,2020,RAM,RAM 1500 CREW CAB ECODIESEL 4X4
3.8,2021,RAM,RAM 1500 REBEL TRX CREW CAB
8.5,2012,RAM,RAM 2500 HD LARAMIE LONGHORN MEGA CAB 4X4
8.7,2014,RAM,RAM 2500 HD LARAMIE LIMITED CREW CAB 6.4L 4X4
8.4,2014,RAM,RAM 2500 HD POWER WAGON LARAMIE CREW CAB 6.4L 4X4
7.9,2014,RAM,RAM 2500 HD BIG HORN CREW CAB 6.4L 4X4
8.7,2016,RAM,RAM 2500 HD CREW CAB DIESEL 4X4
8.4,2016,RAM,RAM 2500 HD SLT CREW CAB 6.4L 4X4
7.7,2017,RAM,RAM 2500 HD LARAMIE CREW CAB 6.4L 4X4
8.3,2017,RAM,RAM 2500 HD SLT OFF-ROAD MEGA CAB 6.4L 4X4
8.6,2018,RAM,RAM 2500 HD POWER WAGON CREW CAB 6.4L 4X4
7.2,2019,RAM,RAM 2500 HD TRADESMAN REGULAR CAB 4X4
7.6,2020,RAM,RAM 2500 HD LARAMIE CREW CAB 4X4
7.6,2021,RAM,RAM 2500 HD LARAMIE CREW CAB 4X4
8.8,2011,RAM,RAM 3500 HD LARAMIE LONGHORN CREW CAB DUALLY 4X4
8.9,2013,RAM,RAM 3500 HD LARAMIE LONGHORN MEGA CAB DUALLY 4X4
8.8,2014,RAM,RAM 3500 HD LARAMIE LONGHORN MEGA CAB DIESEL 4X4
8.6,2016,RAM,RAM 3500 HD LIMITED CREW CAB DIESEL DUALLY 4X4
8.1,2019,RAM,RAM 3500 HD LIMITED MEGA CAB DIESEL DUALLY 4X4
8.4,2019,RAM,RAM 3500 HD LIMITED CREW CAB DIESEL DUALLY 4X4
12.4,2014,RAM,RAM 4500 HD LARAMIE CREW CAB FLATBED DUALLY 6.4L 4X4
7.8,2013,RAM,RAM CV TRADESMAN MINIVAN
8.1,2014,RAM,"RAM PROMASTER 1500 CARGO VAN (136"" WB HIGH ROOF)"
13.4,2014,RAM,"RAM PROMASTER 1500 ECODIESEL CARGO VAN (118"" WB LOW ROOF)"
8.3,2014,RAM,"RAM PROMASTER 2500 CARGO VAN (159"" WB HIGH ROOF)"
