0_60_time,year,manufacturer,model
11.5,1969,SUBARU,SUBARU 1000 SPORTS
6.8,2019,SUBARU,SUBARU ASCENT TOURING
6.9,2019,SUBARU,SUBARU ASCENT LIMITED
6.9,2019,SUBARU,SUBARU ASCENT PREMIUM
9.0,2006,SUBARU,SUBARU B9 TRIBECA LIMITED AWD
7.7,2006,SUBARU,COBB TUNING SUBARU B9 TRIBECA
9.0,2007,SUBARU,SUBARU B9 TRIBECA 3.0 SE5 AWD
9.7,2003,SUBARU,SUBARU BAJA
7.4,2004,SUBARU,SUBARU BAJA TURBO
6.3,2013,SUBARU,SUBARU BRZ LIMITED (MANUAL)
7.6,2013,SUBARU,SUBARU BRZ LIMITED
4.4,2014,SUBARU,CRAWFORD ENGINEERING SUBARU BRZ
6.1,2017,SUBARU,SUBARU BRZ LIMITED
6.3,2018,SUBARU,SUBARU BRZ TS
5.6,2022,SUBARU,SUBARU BRZ LIMITED
9.2,2012,SUBARU,SUBARU XV CROSSTREK 2.0D
8.4,2013,SUBARU,SUBARU XV CROSSTREK 2.0I PREMIUM
9.9,2013,SUBARU,SUBARU XV CROSSTREK 2.0I LIMITED
10.2,2014,SUBARU,SUBARU XV CROSSTREK HYBRID TOURING
10.3,2015,SUBARU,SUBARU XV CROSSTREK 2.0I
9.0,2016,SUBARU,SUBARU XV CROSSTREK 2.0D DIESEL SE
9.0,2018,SUBARU,SUBARU CROSSTREK 2.0I (MANUAL)
9.1,2018,SUBARU,SUBARU CROSSTREK 2.0I LIMITED
8.3,2019,SUBARU,SUBARU CROSSTREK PLUG-IN HYBRID
7.8,2021,SUBARU,SUBARU CROSSTREK SPORT
7.6,2021,SUBARU,SUBARU CROSSTREK LIMITED
16.0,1974,SUBARU,SUBARU DL SEDAN
13.4,1980,SUBARU,SUBARU DL-5 HARDTOP COUPE
13.2,1981,SUBARU,SUBARU DL 4WD COUPE
9.5,1998,SUBARU,SUBARU FORESTER S
9.7,2001,SUBARU,SUBARU FORESTER S
9.5,2003,SUBARU,SUBARU FORESTER 2.5X (MANUAL)
9.8,2003,SUBARU,SUBARU FORESTER 2.5XS
5.2,2004,SUBARU,SUBARU FORESTER 2.5XT
10.3,2006,SUBARU,SUBARU FORESTER 2.0XS
10.1,2006,SUBARU,SUBARU FORESTER 2.0D DIESEL XC
5.2,2006,SUBARU,SUBARU FORESTER 2.5XTE
5.6,2006,SUBARU,SUBARU FORESTER 2.5XT LIMITED (MANUAL)
