0_60_time,year,manufacturer,model
9.0,1968,TOYOTA,TOYOTA 2000GT
15.7,1991,TOYOTA,TOYOTA 4RUNNER SR5
9.5,1996,TOYOTA,TOYOTA 4RUNNER LIMITED
9.1,1997,TOYOTA,TOYOTA 4RUNNER SR5
8.0,2003,TOYOTA,TOYOTA 4RUNNER SR5 V8
7.1,2005,TOYOTA,TOYOTA 4RUNNER SR5 SPORT V8
7.7,2010,TOYOTA,TOYOTA 4RUNNER TRAIL EDITION
7.7,2011,TOYOTA,TOYOTA 4RUNNER SR5
7.7,2012,TOYOTA,TOYOTA 4RUNNER LIMITED
7.5,2014,TOYOTA,TOYOTA 4RUNNER SR5
7.6,2014,TOYOTA,TOYOTA 4RUNNER TRAIL PREMIUM
7.7,2015,TOYOTA,TOYOTA 4RUNNER LIMITED
7.5,2017,TOYOTA,TOYOTA 4RUNNER TRD OFF-ROAD
8.0,2017,TOYOTA,TOYOTA 4RUNNER TRD PRO
7.5,2018,TOYOTA,TOYOTA 4RUNNER SR5
7.7,2019,TOYOTA,TOYOTA 4RUNNER TRD OFF-ROAD PREMIUM
7.7,2022,TOYOTA,TOYOTA 4RUNNER TRD PRO
7.4,2012,TOYOTA,TOYOTA GT86
4.8,2015,TOYOTA,COSWORTH TOYOTA GT86
7.7,2017,TOYOTA,TOYOTA 86 (AUTO)
6.8,2017,TOYOTA,TOYOTA 86 860 SE
6.3,2017,TOYOTA,TOYOTA 86
6.2,2020,TOYOTA,TOYOTA 86 GT
5.6,2022,TOYOTA,TOYOTA GR86 PREMIUM (MANUAL)
6.6,2022,TOYOTA,TOYOTA GR86 PREMIUM
10.0,2006,TOYOTA,TOYOTA AURIS SR 2.0 D-4D 3-DOOR
10.1,2007,TOYOTA,TOYOTA AURIS 1.6
7.6,2007,TOYOTA,TOYOTA AURIS T180
11.6,2008,TOYOTA,TOYOTA AURIS T3 1.4 D-4D
10.1,2009,TOYOTA,TOYOTA AURIS SR 1.6 VVT-I 3-DOOR
